"campaignid","sample","family","genus","species","length","range","number","comment","project","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2015-01_Montebello.transect_stereoBRUVs","NCB680","Mullidae","Parupeneus","barberinoides",30.65754,"1239.56530",1,NA,"Pilbara Marine Conservation Partnership","-20.342","115.53515","20150119","11:56:00","N.Montebello.Sanctuary","No-take",NA,"30.3","Derek","Yes","Yes"
"2015-01_Montebello.transect_stereoBRUVs","NCB680","Mullidae","Parupeneus","heptacanthus",72.5443,"1187.06428",1,NA,"Pilbara Marine Conservation Partnership","-20.342","115.53515","20150119","11:56:00","N.Montebello.Sanctuary","No-take",NA,"30.3","Derek","Yes","Yes"
"2015-01_Montebello.transect_stereoBRUVs","NCB680","Mullidae","Parupeneus","heptacanthus",57.17576,"1421.13722",1,NA,"Pilbara Marine Conservation Partnership","-20.342","115.53515","20150119","11:56:00","N.Montebello.Sanctuary","No-take",NA,"30.3","Derek","Yes","Yes"
"2015-01_Montebello.transect_stereoBRUVs","NCB680","Mullidae","Parupeneus","heptacanthus",61.72587,"1250.29263",1,NA,"Pilbara Marine Conservation Partnership","-20.342","115.53515","20150119","11:56:00","N.Montebello.Sanctuary","No-take",NA,"30.3","Derek","Yes","Yes"
"2015-01_Montebello.transect_stereoBRUVs","NCB680","Mullidae","Parupeneus","heptacanthus",52.54226,"1746.61744",1,NA,"Pilbara Marine Conservation Partnership","-20.342","115.53515","20150119","11:56:00","N.Montebello.Sanctuary","No-take",NA,"30.3","Derek","Yes","Yes"
"2015-01_Montebello.transect_stereoBRUVs","NCB680","Mullidae","Parupeneus","heptacanthus",55.87922,"1317.81727",1,NA,"Pilbara Marine Conservation Partnership","-20.342","115.53515","20150119","11:56:00","N.Montebello.Sanctuary","No-take",NA,"30.3","Derek","Yes","Yes"
"2015-01_Montebello.transect_stereoBRUVs","NCB680","Mullidae","Parupeneus","heptacanthus",70.89008,"990.43461",1,NA,"Pilbara Marine Conservation Partnership","-20.342","115.53515","20150119","11:56:00","N.Montebello.Sanctuary","No-take",NA,"30.3","Derek","Yes","Yes"
"2015-01_Montebello.transect_stereoBRUVs","NCB680","Mullidae","Parupeneus","heptacanthus",78.67246,"1099.93034",1,NA,"Pilbara Marine Conservation Partnership","-20.342","115.53515","20150119","11:56:00","N.Montebello.Sanctuary","No-take",NA,"30.3","Derek","Yes","Yes"
"2015-01_Montebello.transect_stereoBRUVs","NCB680","Mullidae","Parupeneus","heptacanthus",82.08021,"1293.62535",1,NA,"Pilbara Marine Conservation Partnership","-20.342","115.53515","20150119","11:56:00","N.Montebello.Sanctuary","No-take",NA,"30.3","Derek","Yes","Yes"
"2015-01_Montebello.transect_stereoBRUVs","NCB680","Mullidae","Parupeneus","heptacanthus",73.52831,"1154.45260",1,NA,"Pilbara Marine Conservation Partnership","-20.342","115.53515","20150119","11:56:00","N.Montebello.Sanctuary","No-take",NA,"30.3","Derek","Yes","Yes"
