"campaignid","sample","family","genus","species","maxn","project","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment"
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Balistidae","Abalistes","stellatus",2,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Balistidae","Sufflamen","fraenatum",2,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Caesionidae","Pterocaesio","digramma",26,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Carcharhinidae","Carcharhinus","amblyrhynchos",1,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Chaetodontidae","Coradion","chrysozonus",1,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Labridae","Anampses","lennardi",2,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Labridae","Choerodon","vitta",1,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Labridae","Coris","caudimacula",6,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Labridae","Coris","pictoides",1,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Labridae","Labroides","dimidiatus",2,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Labridae","Leptojulis","cyanopleura",6,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Labridae","Stethojulis","interrupta",3,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Lethrinidae","Lethrinus","spp",3,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Lutjanidae","Aprion","virescens",1,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Lutjanidae","Lutjanus","lemniscatus",1,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Lutjanidae","Symphorus","nematophorus",1,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Mullidae","Parupeneus","barberinoides",6,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Mullidae","Parupeneus","chrysopleuron",1,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Mullidae","Parupeneus","heptacanthus",1,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Mullidae","Upeneus","tragula",2,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Nemipteridae","Pentapodus","emeryii",1,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Nemipteridae","Pentapodus","porosus",17,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Nemipteridae","Scolopsis","monogramma",2,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Pomacentridae","Chromis","fumea",31,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Pomacentridae","Pomacentrus","nagasakiensis",12,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Scombridae","Scomberomorus","spp",3,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Serranidae","Cephalopholis","boenak",1,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB606","Siganidae","Siganus","fuscescens",18,"Pilbara Marine Conservation Partnership","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB607","Balistidae","Abalistes","stellatus",1,"Pilbara Marine Conservation Partnership","-20.407","115.47612","20150117","8:48:00","Montebello","Fished",NA,"29","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB607","Balistidae","Sufflamen","fraenatum",2,"Pilbara Marine Conservation Partnership","-20.407","115.47612","20150117","8:48:00","Montebello","Fished",NA,"29","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB607","Blenniidae","Plagiotremus","tapeinosoma",1,"Pilbara Marine Conservation Partnership","-20.407","115.47612","20150117","8:48:00","Montebello","Fished",NA,"29","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB607","Caesionidae","Pterocaesio","digramma",18,"Pilbara Marine Conservation Partnership","-20.407","115.47612","20150117","8:48:00","Montebello","Fished",NA,"29","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB607","Carangidae","Selaroides","leptolepis",1,"Pilbara Marine Conservation Partnership","-20.407","115.47612","20150117","8:48:00","Montebello","Fished",NA,"29","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB607","Ephippidae","Platax","batavianus",1,"Pilbara Marine Conservation Partnership","-20.407","115.47612","20150117","8:48:00","Montebello","Fished",NA,"29","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB607","Labridae","Choerodon","cauteroma",1,"Pilbara Marine Conservation Partnership","-20.407","115.47612","20150117","8:48:00","Montebello","Fished",NA,"29","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB607","Labridae","Choerodon","vitta",1,"Pilbara Marine Conservation Partnership","-20.407","115.47612","20150117","8:48:00","Montebello","Fished",NA,"29","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB607","Labridae","Cirrhilabrus","temminckii",2,"Pilbara Marine Conservation Partnership","-20.407","115.47612","20150117","8:48:00","Montebello","Fished",NA,"29","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB607","Labridae","Coris","caudimacula",6,"Pilbara Marine Conservation Partnership","-20.407","115.47612","20150117","8:48:00","Montebello","Fished",NA,"29","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB607","Labridae","Coris","dorsomacula",1,"Pilbara Marine Conservation Partnership","-20.407","115.47612","20150117","8:48:00","Montebello","Fished",NA,"29","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB607","Labridae","Labroides","dimidiatus",3,"Pilbara Marine Conservation Partnership","-20.407","115.47612","20150117","8:48:00","Montebello","Fished",NA,"29","Emma","Yes","Yes",NA
"2015-01_Montebello.transect_stereoBRUVs","NCB607","Labridae","Leptojulis","cyanopleura",18,"Pilbara Marine Conservation Partnership","-20.407","115.47612","20150117","8:48:00","Montebello","Fished",NA,"29","Emma","Yes","Yes",NA
