"campaignid","sample","family","genus","species","length","range","number","comment","project","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB221","Carcharhinidae","Carcharhinus","amblyrhynchos",1060.23603,4980.76762,1,"NA","Pilbara Marine Conservation Partnership",-21.6721346,114.3293257,20140514,08:19:00,"E.Muiron.Sanctuary","No-take","NA",8.7,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB124","Sphyraenidae","Sphyraena","barracuda",1159.52267,6847.78259,1,"NA","Pilbara Marine Conservation Partnership",-21.3144182,115.0532748,20140510,14:04:00,"Pilbara","Fished","NA",11.1,"Todd","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB224","Serranidae","Epinephelus","tukula",1377.05503,2189.04494,1,"NA","Pilbara Marine Conservation Partnership",-21.6862132,114.3096856,20140514,09:59:00,"Muirons","Fished","NA",10.5,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB98","Carcharhinidae","Triaenodon","obesus",1207.96538,2814.22167,1,"NA","Pilbara Marine Conservation Partnership",-21.2385853,115.4688768,20140509,14:54:00,"Pilbara","Fished","NA",9.8,"Todd","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB47","Carcharhinidae","Galeocerdo","cuvier",2065.70566,5718.37422,1,"NA","Pilbara Marine Conservation Partnership",-20.7661365,116.2945435,20140507,14:35:00,"Pilbara","Fished","NA",8.3,"ET","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB189","Carcharhinidae","Negaprion","acutidens",2356.58118,2393.75277,1,"NA","Pilbara Marine Conservation Partnership",-21.5987301,114.6089259,20140513,07:49:00,"Pilbara","Fished","NA",8.8,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB241","Scombridae","Scomberomorus","spp",1025.41105,3466.43738,1,"NA","Pilbara Marine Conservation Partnership",-21.8632557,114.1738335,20140514,13:33:00,"Bundegi.Sanctuary","No-take","NA",8.9,"Matt","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB181","Carcharhinidae","Carcharhinus","amblyrhynchos",1258.28245,4717.64958,1,"NA","Pilbara Marine Conservation Partnership",-21.5719721,114.6624649,20140512,14:09:00,"Pilbara","Fished","NA",7,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB85","Sphyrnidae","Sphyrna","lewini",1452.53563,3075.44858,1,"NA","Pilbara Marine Conservation Partnership",-21.1158002,115.654244,20140509,09:14:00,"Pilbara","Fished","NA",7.5,"Todd","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB253","Carcharhinidae","Negaprion","acutidens",1955.3459,3792.85162,1,"NA","Pilbara Marine Conservation Partnership",-21.7826643,114.1764395,20140515,09:08:00,"Between.Murat.and.Lighthouse","Fished","NA",8,"Todd","Yes","Yes"
