"project","campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment"
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","-20.6328043","116.4647078","20140506","8:10:00","Pilbara","Fished",NA,"11.8","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB2","-20.6282741","116.463894","20140506","8:17:00","Pilbara","Fished",NA,"11.2","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB3","-20.6237567","116.4628221","20140506","8:22:00","Pilbara","Fished",NA,"12.3","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB4","-20.6210669","116.4589674","20140506","8:27:00","Pilbara","Fished",NA,"9.8","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB5","-20.6165622","116.4604948","20140506","8:32:00","Pilbara","Fished",NA,"13.8","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB6","-20.6122353","116.46199","20140506","8:39:00","Pilbara","Fished",NA,"11.6","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB7","-20.6076741","116.4615571","20140506","8:44:00","Pilbara","Fished",NA,"13.6","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB8","-20.6031648","116.4620028","20140506","8:49:00","Pilbara","Fished",NA,"14.2","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB9","-20.5994323","116.4646423","20140506","8:54:00","Pilbara","Fished",NA,"14.5","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","-20.594917","116.4675501","20140506","8:59:00","Pilbara","Fished",NA,"15.1","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB11","-20.583626","116.4486042","20140506","11:08:00","Pilbara","Fished",NA,"11.5","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB12","-20.5798985","116.4528426","20140506","11:13:00","Pilbara","Fished",NA,"11.2","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB13","-20.5753733","116.4557233","20140506","11:18:00","Pilbara","Fished",NA,"11.5","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB14","-20.5716912","116.458572","20140506","11:24:00","Pilbara","Fished",NA,"10.5","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB15","-20.5676133","116.4605667","20140506","11:30:00","Pilbara","Fished",NA,"12.2","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB16","-20.5648931","116.4632729","20140506","11:37:00","Pilbara","Fished",NA,"7.1","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB17","-20.5629518","116.4683175","20140506","11:42:00","Pilbara","Fished",NA,"11.8","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB18","-20.5607506","116.4727624","20140506","11:48:00","Pilbara","Fished",NA,"11.3","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB19","-20.5579889","116.4760073","20140506","11:54:00","Pilbara","Fished",NA,"14","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB20","-20.5556662","116.4811189","20140506","11:58:00","Pilbara","Fished",NA,"10.7","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB21","-20.3879967","116.7763074","20140506","14:43:00","Pilbara","Fished",NA,"17.9","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB22","-20.3772523","116.7918434","20140506","14:48:00","Pilbara","Fished",NA,"11.8","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB23","-20.3693966","116.8082099","20140506","14:54:00","Pilbara","Fished",NA,"13.2","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB24","-20.3612815","116.8220968","20140506","14:58:00","Pilbara","Fished",NA,"11","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB25","-20.3503235","116.8366883","20140506","15:03:00","Pilbara","Fished",NA,"15.4","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB26","-20.3728404","116.8704986","20140506","15:18:00","Pilbara","Fished",NA,"21.4","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB27","-20.3808318","116.8840704","20140506","15:24:00","Pilbara","Fished",NA,"16","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB28","-20.3901496","116.8990484","20140506","15:30:00","Pilbara","Fished",NA,"16.1","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB29","-20.3974202","116.9127645","20140506","15:37:00","Pilbara","Fished",NA,"16.4","Todd","No","No",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB30","-20.405538","116.9369291","20140506","15:46:00","Pilbara","Fished",NA,"11.3","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB31","-20.4992143","116.5021282","20140507","7:24:00","Pilbara","Fished",NA,"8.4","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB32","-20.4903828","116.5171083","20140507","7:30:00","Pilbara","Fished",NA,"11","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB33","-20.4784128","116.5301335","20140507","7:35:00","Pilbara","Fished",NA,"9.9",NA,"No","No",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB34","-20.4712452","116.5452342","20140507","7:42:00","Pilbara","Fished",NA,"9.8",NA,"No","No",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB35","-20.4648313","116.5644092","20140507","7:47:00","Pilbara","Fished",NA,"7.9","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB36","-20.4586478","116.5797093","20140507","7:53:00","Pilbara","Fished",NA,"10.3","Todd","No","No",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB37","-20.4506013","116.5958047","20140507","7:57:00","Pilbara","Fished",NA,"9",NA,"No","No",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB38","-20.4432623","116.6104235","20140507","8:02:00","Pilbara","Fished",NA,"8.9",NA,"No","No",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB39","-20.433172","116.6250472","20140507","8:12:00","Pilbara","Fished",NA,"8.6","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB40","-20.4388792","116.6475982","20140507","8:24:00","Pilbara","Fished",NA,"9.8","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB41","-20.7106195","116.3836373","20140507","13:54:00","Pilbara","Fished",NA,"8","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB42","-20.744727","116.3317268","20140507","14:16:00","Pilbara","Fished",NA,"6.6","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB43","-20.7554833","116.3200333","20140507","14:22:00","Pilbara","Fished",NA,"10.9","Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB44","-20.758314","116.3142113","20140507","14:25:00","Pilbara","Fished",NA,"8","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB45","-20.7591112","116.3070512","20140507","14:29:00","Pilbara","Fished",NA,"7.7","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB46","-20.7609382","116.3009763","20140507","14:32:00","Pilbara","Fished",NA,"10.7","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB47","-20.7661365","116.2945435","20140507","14:35:00","Pilbara","Fished",NA,"8.3","ET","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB48","-20.7789587","116.2804953","20140507","14:41:00","Pilbara","Fished",NA,"9.4","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB49","-20.7833385","116.264147","20140507","14:47:00","Pilbara","Fished",NA,"8","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB50","-20.7728108","116.102024","20140508","7:49:00","Pilbara","Fished",NA,"10.3","ET","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB51","-20.7867413","116.0923193","20140508","7:55:00","Pilbara","Fished",NA,"10","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB52","-20.8006293","116.0821848","20140508","8:01:00","Pilbara","Fished",NA,"8.8","ET","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB53","-20.8101303","116.0689955","20140508","8:06:00","Pilbara","Fished",NA,"8.5","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB54","-20.8234752","116.0511788","20140508","8:12:00","Pilbara","Fished",NA,"6.7","Emma","Yes","No",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB55","-20.8396045","116.0526003","20140508","8:18:00","Pilbara","Fished",NA,"6.7","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB56","-20.8935002","116.0295428","20140508","8:38:00","Pilbara","Fished",NA,"11.4","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB57","-20.952398","115.9806178","20140508","9:01:00","Pilbara","Fished",NA,"7.3","Katrina","Yes","No",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB58","-20.955245","115.9749265","20140508","9:04:00","Pilbara","Fished",NA,"8.7","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB59","-20.866656","115.9250388","20140508","12:09:00","Pilbara","Fished",NA,"11.3","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB60","-20.8711337","115.9246118","20140508","12:15:00","Pilbara","Fished",NA,"7.7",NA,"No","No",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB61","-20.8760258","115.9257572","20140508","12:19:00","Pilbara","Fished",NA,"7.6","ET","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB62","-20.9091043","115.8997032","20140508","12:32:00","Pilbara","Fished",NA,"10.2","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB63","-20.908876","115.8942487","20140508","12:35:00","Pilbara","Fished",NA,"12.3","ET","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB64","-20.9111887","115.8914053","20140508","12:37:00","Pilbara","Fished",NA,"7","Matt","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB65","-20.9130485","115.8861675","20140508","12:40:00","Pilbara","Fished",NA,"11.7","Todd","Yes","Yes",NA
