"sample","legal.sublegal","count","family","genus","species","project","campaignid"
"101","Sublegal","4","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"102","Sublegal","1","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"103","Sublegal","2","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"105","Sublegal","1","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"106","Sublegal","2","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"107","Sublegal","2","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"109","Sublegal","2","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"11","Sublegal","17","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"112","Sublegal","2","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"114","Sublegal","1","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"115","Sublegal","3","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"117","Sublegal","1","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"119","Legal","2","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"119","Sublegal","7","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"120","Sublegal","2","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"121","Legal","2","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"121","Sublegal","4","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"122","Sublegal","3","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"124","Sublegal","1","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"125","Sublegal","1","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"126","Sublegal","1","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"127","Legal","1","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"127","Sublegal","2","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"128","Sublegal","1","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"129","Legal","2","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
