"sample","count","length","legal.sublegal","family","genus","species","project","campaignid"
"11","5","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"18","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"54","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"70","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"81","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"109","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"115","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"117","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"183","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"252","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"329","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"13","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"14","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"38","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"44","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"56","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"86","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"88","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"89","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"90","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"94","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"99","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"101","4","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"105","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"106","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"109","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"115","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"147","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"183","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"252","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"304","3","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"310","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"385","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"11","5","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"16","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"19","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"24","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"26","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"38","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"39","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"40","3","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"44","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"56","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"59","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"62","5","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"66","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"67","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"84","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"86","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"88","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"90","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"91","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"97","3","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"102","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"103","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"106","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"107","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"112","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
