"campaignid","sample","frame","family","genus","species","maxn","project","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment"
"2009-08_PSGLMP_BRUVs","BH01","5582","Brachaeluridae","Brachaelurus","waddi",1,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","46583","Carangidae","Pseudocaranx","dentex",12,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","37626","Carangidae","Trachurus","novaezelandiae",7,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","11038","Cheilodactylidae","Nemadactylus","douglasii",1,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","32942","Dasyatidae","Dasyatis","brevicaudata",1,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","32942","Echeneidae","Echeneis","naucrates",1,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","20025","Enoplosidae","Enoplosus","armatus",2,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","9212","Labridae","Notolabrus","gymnogenis",1,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","18131","Labridae","Ophthalmolepis","lineolatus",2,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","22809","Monacanthidae","Meuschenia","freycineti",1,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","51058","Muraenidae","Gymnothorax","prasinus",2,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","12503","Scorpaenidae","Scorpaena","cardinalis",1,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","35961","Scorpididae","Atypichthys","strigatus",1,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","35153","Scorpididae","Scorpis","lineolata",2,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","23110","Serranidae","Acanthistius","ocellatus",1,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","6499","Serranidae","Hypoplectrodes","maccullochi",1,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH01","53342","Sparidae","Pagrus","auratus",2,"Port Stephens-Great Lakes Marine Park MER Program","-32.06488833","152.5705217","20090801","09:00:00","Black.Head","Fished","Black.Head","26","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH02","24810","Acanthuridae","Prionurus","microlepidotus",1,"Port Stephens-Great Lakes Marine Park MER Program","-32.06542167","152.5670233","20090801","09:00:00","Black.Head","Fished","Black.Head","25","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH02","5234","Carangidae","Pseudocaranx","dentex",20,"Port Stephens-Great Lakes Marine Park MER Program","-32.06542167","152.5670233","20090801","09:00:00","Black.Head","Fished","Black.Head","25","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH02","40818","Carangidae","Trachurus","novaezelandiae",25,"Port Stephens-Great Lakes Marine Park MER Program","-32.06542167","152.5670233","20090801","09:00:00","Black.Head","Fished","Black.Head","25","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH02","47896","Dinolestidae","Dinolestes","lewini",11,"Port Stephens-Great Lakes Marine Park MER Program","-32.06542167","152.5670233","20090801","09:00:00","Black.Head","Fished","Black.Head","25","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH02","14461","Enoplosidae","Enoplosus","armatus",1,"Port Stephens-Great Lakes Marine Park MER Program","-32.06542167","152.5670233","20090801","09:00:00","Black.Head","Fished","Black.Head","25","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH02","18613","Kyphosidae","Girella","tricuspidata",1,"Port Stephens-Great Lakes Marine Park MER Program","-32.06542167","152.5670233","20090801","09:00:00","Black.Head","Fished","Black.Head","25","DH","Yes","No",NA
"2009-08_PSGLMP_BRUVs","BH02","8769","Labridae","Notolabrus","gymnogenis",1,"Port Stephens-Great Lakes Marine Park MER Program","-32.06542167","152.5670233","20090801","09:00:00","Black.Head","Fished","Black.Head","25","DH","Yes","No",NA
