"campaignid","sample","family","genus","species","maxn","project","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment"
"2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC1-1","Serranidae","Epinephelides","armatus",3,"Rottnest Island Marine Reserve long-term monitoring","-31.98670238","115.5188948","20090705","14:53:00","Armstrong","Fished","AC1","6","Ben S","Yes","Yes",NA
"2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC1-1","Labridae","Coris","auricularis",37,"Rottnest Island Marine Reserve long-term monitoring","-31.98670238","115.5188948","20090705","14:53:00","Armstrong","Fished","AC1","6","Ben S","Yes","Yes",NA
"2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC1-1","Labridae","Anampses","geographicus",2,"Rottnest Island Marine Reserve long-term monitoring","-31.98670238","115.5188948","20090705","14:53:00","Armstrong","Fished","AC1","6","Ben S","Yes","Yes",NA
"2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC1-1","Scyliorhinidae","Aulohalaelurus","labiosus",1,"Rottnest Island Marine Reserve long-term monitoring","-31.98670238","115.5188948","20090705","14:53:00","Armstrong","Fished","AC1","6","Ben S","Yes","Yes",NA
"2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC1-1","Glaucosomatidae","Glaucosoma","hebraicum",1,"Rottnest Island Marine Reserve long-term monitoring","-31.98670238","115.5188948","20090705","14:53:00","Armstrong","Fished","AC1","6","Ben S","Yes","Yes",NA
"2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC1-1","Kyphosidae","Kyphosus","cornelii",3,"Rottnest Island Marine Reserve long-term monitoring","-31.98670238","115.5188948","20090705","14:53:00","Armstrong","Fished","AC1","6","Ben S","Yes","Yes",NA
"2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC1-1","Kyphosidae","Kyphosus","sydneyanus",1,"Rottnest Island Marine Reserve long-term monitoring","-31.98670238","115.5188948","20090705","14:53:00","Armstrong","Fished","AC1","6","Ben S","Yes","Yes",NA
"2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC1-1","Monacanthidae","Meuschenia","flavolineata",1,"Rottnest Island Marine Reserve long-term monitoring","-31.98670238","115.5188948","20090705","14:53:00","Armstrong","Fished","AC1","6","Ben S","Yes","Yes",NA
"2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC1-1","Monacanthidae","Meuschenia","galii",1,"Rottnest Island Marine Reserve long-term monitoring","-31.98670238","115.5188948","20090705","14:53:00","Armstrong","Fished","AC1","6","Ben S","Yes","Yes",NA
"2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC1-1","Monacanthidae","Meuschenia","hippocrepis",1,"Rottnest Island Marine Reserve long-term monitoring","-31.98670238","115.5188948","20090705","14:53:00","Armstrong","Fished","AC1","6","Ben S","Yes","Yes",NA
