"project","campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment"
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB606","-20.408","115.48192","20150117","8:45:00","Montebello","Fished",NA,"25.7","Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB607","-20.407","115.47612","20150117","8:48:00","Montebello","Fished",NA,"29","Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB608","-20.405","115.46842","20150117","8:56:00","Montebello","Fished",NA,"30.4","Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB609","-20.404","115.45887","20150117","9:01:00","Montebello","Fished",NA,"29.4","Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB610","-20.402","115.45061","20150117","9:07:00","Montebello","Fished",NA,"23.3","Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB611","-20.4","115.44188","20150117","9:12:00","Montebello","Fished",NA,"22.6","Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB612","-20.398","115.43266","20150117","9:18:00","Montebello","Fished",NA,"24.5","Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB613","-20.396","115.42453","20150117","9:23:00","Montebello","Fished",NA,"26.3","Emma","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB614","-20.394","115.41624","20150117","9:27:00","Montebello","Fished",NA,"28.3","Matt/Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB615","-20.392","115.407","20150117","9:33:00","Montebello","Fished",NA,"31.9","Katrina","Yes","Yes",NA
