Sample	Family	Genus_species	Count	cruisenum	site	camera	depth	lat	lon	comments	opdate_time	bruvsops_recordcreated	timeoftimeonseabed	timeofendsamplingtime	tapereader	genus	species	timefirstseen	stage	activity	timefirstfeed	timemaxnumseen	caabcode	bruvsspecies_recordcreated	status	taxa
GBISBRUVS01	Latridae	Nemadactylus macropterus	4	50.0	1.0	34.0	64.0	-36.0526	175.3665	Very dark. Cant see bottom, but very silty habitat	39016.28194444445	39091.38790509259	39099.54918981482	39099.55950231481	Glenn Shiell	Nemadactylus	macropterus	3.53333	AD	F	12.8	7.1	37991376.0	39099.54988425926	N	Nemadactylus macropterus
GBISBRUVS01	Scorpaenidae	Helicolenus percoides	1	50.0	1.0	34.0	64.0	-36.0526	175.3665	Very dark. Cant see bottom, but very silty habitat	39016.28194444445	39091.38790509259	39099.54918981482	39099.55950231481	Glenn Shiell	Helicolenus	percoides	4.75	AD	P	0.0	4.75	37287001.0	39099.55033564815	N	Helicolenus percoides
GBISBRUVS01	Sparidae	Pagrus auratus	2	50.0	1.0	34.0	64.0	-36.0526	175.3665	Very dark. Cant see bottom, but very silty habitat	39016.28194444445	39091.38790509259	39099.54918981482	39099.55950231481	Glenn Shiell	Pagrus	auratus	7.7	AD	F	12.8	10.41666	37353001.0	39099.55210648148	N	Pagrus auratus
GBISBRUVS01	Carangidae	Pseudocaranx dentex	70	50.0	1.0	34.0	64.0	-36.0526	175.3665	Very dark. Cant see bottom, but very silty habitat	39016.28194444445	39091.38790509259	39099.54918981482	39099.55950231481	Glenn Shiell	Pseudocaranx	dentex	8.06666	AD	P	0.0	8.31666	37337062.0	39099.55258101852	N	Pseudocaranx dentex
GBISBRUVS01	Pinguipedidae	Parapercis colias	1	50.0	1.0	34.0	64.0	-36.0526	175.3665	Very dark. Cant see bottom, but very silty habitat	39016.28194444445	39091.38790509259	39099.54918981482	39099.55950231481	Glenn Shiell	Parapercis	colias	12.33333	AD	F	16.81666	12.33333	37390790.0	39099.554456018515	N	Parapercis colias
GBISBRUVS01	Monacanthidae	Parika scaber	1	50.0	1.0	34.0	64.0	-36.0526	175.3665	Very dark. Cant see bottom, but very silty habitat	39016.28194444445	39091.38790509259	39099.54918981482	39099.55950231481	Glenn Shiell	Parika	scaber	13.38333	AD	P	0.0	13.38333	37465005.0	39099.55506944445	N	Parika scaber
GBISBRUVS01	Labridae	Bodianus unimaculatus	1	50.0	1.0	34.0	64.0	-36.0526	175.3665	Very dark. Cant see bottom, but very silty habitat	39016.28194444445	39091.38790509259	39099.54918981482	39099.55950231481	Glenn Shiell	Bodianus	unimaculatus	16.56666	F	P	0.0	16.56666	37384061.0	39099.555868055555	N	Bodianus unimaculatus
GBISBRUVS01	Labridae	Bodianus unimaculatus	1	50.0	1.0	34.0	64.0	-36.0526	175.3665	Very dark. Cant see bottom, but very silty habitat	39016.28194444445	39091.38790509259	39099.54918981482	39099.55950231481	Glenn Shiell	Bodianus	unimaculatus	30.26666	M	P	0.0	30.26666	37384061.0	39099.55837962963	N	Bodianus unimaculatus
GBISBRUVS03	Monacanthidae	Parika scaber	1	50.0	1.0	12.0	75.0	-36.0176	175.4346	Vis ~3-4m.	39016.32986111111	39091.38790509259	39100.49980324074	39100.51314814815	Glenn Shiell	Parika	scaber	6.93333	AD	P	0.0	6.93333	37465005.0	39100.49989583333	N	Parika scaber
GBISBRUVS03	Labridae	Bodianus unimaculatus	1	50.0	1.0	12.0	75.0	-36.0176	175.4346	Vis ~3-4m.	39016.32986111111	39091.38790509259	39100.49980324074	39100.51314814815	Glenn Shiell	Bodianus	unimaculatus	10.4	M	F	13.43333	10.4	37384061.0	39100.501238425924	N	Bodianus unimaculatus
GBISBRUVS03	Labridae	Bodianus unimaculatus	2	50.0	1.0	12.0	75.0	-36.0176	175.4346	Vis ~3-4m.	39016.32986111111	39091.38790509259	39100.49980324074	39100.51314814815	Glenn Shiell	Bodianus	unimaculatus	11.2	F	P	0.0	13.98333	37384061.0	39100.50188657407	N	Bodianus unimaculatus
GBISBRUVS03	Labridae	Pseudolabrus miles	1	50.0	1.0	12.0	75.0	-36.0176	175.4346	Vis ~3-4m.	39016.32986111111	39091.38790509259	39100.49980324074	39100.51314814815	Glenn Shiell	Pseudolabrus	miles	13.9	AD	F	13.9	13.9	37991372.0	39100.502546296295	N	Pseudolabrus miles
GBISBRUVS03	Pinguipedidae	Parapercis colias	1	50.0	1.0	12.0	75.0	-36.0176	175.4346	Vis ~3-4m.	39016.32986111111	39091.38790509259	39100.49980324074	39100.51314814815	Glenn Shiell	Parapercis	colias	12.85	JUV	P	0.0	12.85	37390790.0	39100.50289351852	N	Parapercis colias
