Sample	Benthos	Detail.Benthos	Relief	Detail.Relief
9AC1-1	KELP	ECK	MPR	MPR
9AC1-2	KELP	ECK	MPR	MPR
9AC1-3	MAC	MAC	SIR	SIR
9AC1-4	KELP	ECK	LPR	LPR
9AC2-1	MAC	MAC	SIR	SIR
9AC2-2	KELP	ECK	MPR	MPR
9AC2-3	SA	SA	SA	SA
9AC2-4	SA	SA	SA	SA
9AC3-1	MAC	MAC	MPR	MPR
9AC3-2	KELP	ECK	LPR	LPR
9AC3-3	KELP	ECK	MPR	MPR
9AC3-4	UNKNOWN	NA	UNKNOWN	NA
9AC4-1	KELP	ECK	MPR	MPR
9AC4-2	MAC	MAC	MPR	MPR
9AC4-3	SA	SA	SA	SA
9AC4-4	KELP	ECK	HPR	HPR
9AR1-1	SA	SA	SA	SIR
9AR1-2	KELP	ECK	MPR	MPR
9AR1-3	MAC	MAC	SIR	SIR
9AR1-4	MAC	MAC	MPR	MPR
9AR2-1	SA	SA	SA	SA
9AR2-2	UNKNOWN	NA	UNKNOWN	NA
9AR2-3	SA	SA	SA	MPR
9AR2-4	UNKNOWN	NA	UNKNOWN	NA
9GC1-1	KELP	ECK	HPR	HPR
9GC1-2	KELP	ECK	HPR	HPR
9GC1-3	SA	SA	SA	SA
9GC1-4	MAC	MAC	MPR	MPR
9GC2-1	MAC	MAC	MPR	MPR
9GC2-2	MAC	MAC	MPR	MPR
9GC2-3	MAC	MAC	HPR	HPR
9GC2-4	KELP	ECK	LPR	LPR
9GC3-1	KELP	ECK	HPR	HPR
9GC3-2	SA	SA	SA	SIR
9GC3-3	MAC	MAC	HPR	HPR
9GC3-4	SA	SA	SA	HPR
9GC4-1	SA	SA	SA	HPR
9GC4-2	MAC	MAC	MPR	MPR
9GC4-3	KELP	ECK	MPR	MPR
9GC4-4	MAC	MAC	MPR	MPR
9GR1-1	KELP	ECK	MPR	MPR
9GR1-2	SA	SA	SA	SIR
9GR1-3	KELP	ECK	MPR	MPR
9GR1-4	SA	SA	SA	SA
9GR2-1	SA	SA	SA	SA
9GR2-2	UNKNOWN	NA	UNKNOWN	NA
9GR2-3	KELP	ECK	MPR	MPR
9GR2-4	KELP	ECK	LPR	LPR
9KC1-1	SG	SG	SA	SA
9KC1-2	MAC	MAC	SIR	SIR
9KC1-3	SA	SA	SA	SA
9KC1-4	SA	SA	SA	SIR
9KC2-1	MAC	MAC	LPR	LPR
9KC2-2	SA	SA	SA	SA
9KC2-3	SG	SG	SA	SA
9KC2-4	SG	SG	SA	SA
9KC3-1	SA	SA	SA	SIR
9KC3-2	SA	SA	SA	LPR
9KC3-3	SA	SA	SA	SIR
9KC3-4	MAC	MAC	MPR	MPR
9KC4-1	SA	SA	SA	HPR
9KC4-2	SA	SA	SA	MPR
9KC4-3	SA	SA	SA	SA
9KC4-4	MAC	MAC	MPR	MPR
9KR1-1	SG	SG	SA	SA
9KR1-2	MAC	MAC	LPR	LPR
9KR1-3	MAC	MAC	SIR	SIR
9KR1-4	MAC	MAC	MPR	MPR
9KR2-1	SG	SG	SA	SA
9KR2-2	SA	SA	SA	SIR
9KR2-3	SA	SA	SA	SA
9KR2-4	SA	SA	SA	MPR
9PC1-1	KELP	ECK	HPR	HPR
9PC1-2	UNKNOWN	NA	UNKNOWN	NA
9PC1-3	MAC	MAC	MPR	MPR
9PC1-4	SA	SA	SA	LPR
9PC2-1	MAC	MAC	HPR	HPR
9PC2-2	MAC	MAC	LPR	LPR
9PC2-3	SA	SA	SA	SIR
9PC2-4	MAC	MAC	HPR	HPR
9PC3-1	MAC	MAC	MPR	MPR
9PC3-2	MAC	MAC	MPR	MPR
9PC3-3	KELP	ECK	LPR	LPR
9PC3-4	UNKNOWN	NA	UNKNOWN	NA
9PC4-1	UNKNOWN	NA	UNKNOWN	NA
9PC4-2	MAC	MAC	MPR	MPR
9PC4-3	MAC	MAC	MPR	MPR
9PC4-4	KELP	ECK	MPR	MPR
9PR1-1	KELP	ECK	MPR	MPR
9PR1-2	SA	SA	SA	SA
9PR1-3	KELP	ECK	MPR	MPR
9PR1-4	KELP	ECK	MPR	MPR
9PR2-1	KELP	ECK	MPR	MPR
9PR2-2	UNKNOWN	NA	UNKNOWN	NA
9PR2-3	KELP	ECK	MPR	MPR
9PR2-4	KELP	ECK	MPR	MPR
9WC1-1	KELP	ECK	LPR	LPR
9WC1-2	MAC	MAC	MPR	MPR
9WC1-3	KELP	ECK	MPR	MPR
9WC1-4	UNKNOWN	NA	UNKNOWN	NA
9WC2-1	MAC	MAC	SIR	SIR
9WC2-2	UNKNOWN	NA	UNKNOWN	NA
