Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,VISIBILITY,DATE_TIME,TIMEIN,TIMEOUT,BENTHOS,DETAIL.BENTHOS,RELIEF,DETIAL.RELIEF
9AC1-1,-31.98670238,115.5188948,20090705,14:53:00,Armstrong,Fished,AC1,6,Ben S,Yes,Yes,NA,8,2009-07-05T14:53:00Z,1899-12-30T14:53:00Z,1899-12-30T15:53:00Z,KELP,ECK,MPR,MPR
9AC1-2,-31.98670238,115.5188948,20090705,14:55:00,Armstrong,Fished,AC1,7,Russ,Yes,Yes,NA,7,2009-07-05T14:55:00Z,1899-12-30T14:55:00Z,1899-12-30T15:55:00Z,KELP,ECK,MPR,MPR
9AC1-3,-31.98670238,115.5188948,20090705,14:58:00,Armstrong,Fished,AC1,7,Russ,Yes,Yes,SA,7,2009-07-05T14:58:00Z,1899-12-30T14:58:00Z,1899-12-30T15:58:00Z,MAC,MAC,SIR,SIR
9AC1-4,-31.98670238,115.5188948,20090705,15:01:00,Armstrong,Fished,AC1,6,Russ,Yes,Yes,MAC,8,2009-07-05T15:01:00Z,1899-12-30T15:01:00Z,1899-12-30T16:01:00Z,KELP,ECK,LPR,LPR
9AC2-1,-31.98670238,115.5188948,20090705,15:03:00,Armstrong,Fished,AC2,10,Russ,Yes,Yes,SA,5,2009-07-05T15:03:00Z,1899-12-30T15:03:00Z,1899-12-30T16:03:00Z,MAC,MAC,SIR,SIR
9AC2-2,-31.98670238,115.5188948,20090705,15:06:00,Armstrong,Fished,AC2,8,Russ,Yes,Yes,SA,6,2009-07-05T15:06:00Z,1899-12-30T15:06:00Z,1899-12-30T16:06:00Z,KELP,ECK,MPR,MPR
9AC2-3,-31.98670238,115.5188948,20090705,15:09:00,Armstrong,Fished,AC2,9,Russ,Yes,Yes,MAC,6,2009-07-05T15:09:00Z,1899-12-30T15:09:00Z,1899-12-30T16:09:00Z,SA,SA,SA,SA
9AC2-4,-31.98670238,115.5188948,20090705,15:11:00,Armstrong,Fished,AC2,6,Russ,Yes,Yes,MAC,6,2009-07-05T15:11:00Z,1899-12-30T15:11:00Z,1899-12-30T16:11:00Z,SA,SA,SA,SA
9AC3-1,-31.9927685,115.4984064,20090704,14:33:00,Armstrong,Fished,AC3,5,Ben S,Yes,Yes,ECK,8,2009-07-04T14:33:00Z,1899-12-30T14:33:00Z,1899-12-30T15:33:00Z,MAC,MAC,MPR,MPR
9AC3-2,-31.9927685,115.4984064,20090704,14:36:00,Armstrong,Fished,AC3,5,Laura,Yes,Yes,NA,6,2009-07-04T14:36:00Z,1899-12-30T14:36:00Z,1899-12-30T15:36:00Z,KELP,ECK,LPR,LPR
