OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
NCB1544	0	NCB1544_L373.avi	11592	NCB1544_R374.avi	10645	7.728	Time Seabed	0	18.53267	-97.93594	-716.08941	0.25629	0.26157	0.56379	0.12875	722.99305	7.06382	Unknown	Unknown	spp	NA	0	NA	NA	Sync	NA	NA
NCB1544	14	NCB1544_L373.avi	25252	NCB1544_R374.avi	24305	16.83467	Time Seabed	9.10667	41.26361	90.0366	-1832.09573	0.62939	0.62842	3.53628	0.3365	1834.77085	3.90925	Lethrinidae	Lethrinus	genivittatus	37351002	1	AD	Passing	NA	NA	NA
NCB1544	17	NCB1544_L373.avi	25271	NCB1544_R374.avi	24324	16.84733	Time Seabed	9.11933	-111.67525	-146.56486	-1357.678	0.48975	0.51716	1.96547	1.16809	1370.12487	7.05083	Lethrinidae	Lethrinus	genivittatus	37351002	1	AD	Passing	NA	NA	NA
NCB1544	21	NCB1544_L373.avi	27895	NCB1544_R374.avi	26948	18.59667	Time Seabed	10.86867	-720.62615	-113.68593	-1715.08636	1.19128	0.60673	2.87125	0.20666	1863.79928	22.92198	Lutjanidae	Lutjanus	vitta	37346003	1	AD	Passing	NA	NA	NA
NCB1544	29	NCB1544_L373.avi	28034	NCB1544_R374.avi	27087	18.689330000000002	Time Seabed	10.96133	-639.37482	-13.24042	-2505.53691	1.71085	0.84654	6.43363	0.49358	2585.86363	14.32659	Lutjanidae	Lutjanus	vitta	37346003	1	AD	Passing	NA	NA	NA
NCB1544	38	NCB1544_L373.avi	28160	NCB1544_R374.avi	27213	18.77333	Time Seabed	11.04533	-217.93987	-88.45818	-1401.15076	0.55887	0.50053	2.08611	0.11725	1420.75547	9.23475	Lutjanidae	Lutjanus	vitta	37346003	1	AD	Passing	NA	NA	NA
NCB1544	59	NCB1544_L373.avi	45933	NCB1544_R374.avi	44986	30.622	Time Seabed	22.894	930.2098	517.36922	-2328.82128	1.98851	1.27544	5.1716	0.53055	2560.54091	25.00074	Balistidae	Abalistes	stellatus	37465011	1	AD	Passing	NA	NA	NA
NCB1544	60	NCB1544_L373.avi	46063	NCB1544_R374.avi	45116	30.70867	Time Seabed	22.98067	-753.11817	294.879	-3883.28744	3.06786	1.58863	15.33455	0.38094	3966.61845	12.11222	Balistidae	Abalistes	stellatus	37465011	1	AD	Passing	NA	NA	NA
NCB1544	61	NCB1544_L373.avi	46840	NCB1544_R374.avi	45893	31.22667	Time Seabed	23.49867	78.30697	-224.68287	-1283.19666	0.45502	0.54275	1.75706	0.0948	1305.07013	9.68039	Hydrophiidae	Aipysurus	laevis	39125007	1	AD	Passing	NA	NA	NA
NCB1544	65	NCB1544_L373.avi	54625	NCB1544_R374.avi	53678	36.41667	Time Seabed	28.68867	-914.19121	7.17196	-2523.68078	2.20814	0.83537	6.31198	0.97972	2684.16871	19.93866	Nemipteridae	Nemipterus	spp	NA	1	AD	Passing	NA	NA	NA
NCB1544	81	NCB1544_L373.avi	95766	NCB1544_R374.avi	94819	63.844	Time Seabed	56.116	33.69921	-213.53389	-1175.20463	0.41166	0.48932	1.48239	0.39938	1194.92187	9.55707	Muraenidae	Gymnothorax	thrysoideus	37060010	1	AD	Passing	NA	NA	NA
NCB1544	83	NCB1544_L373.avi	101553	NCB1544_R374.avi	100606	67.702	Time Seabed	59.974	-354.28236	-52.68062	-1355.58609	0.64076	0.46878	1.9329	0.38276	1402.1073	14.69666	Pomacentridae	Chromis	fumea	37372004	3	AD	Passing	NA	NA	NA
