OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
NCB1544	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0235108746	0.0853227239	5.5698458710	0.0003777803	0.0007662831	0.0000000000	-0.0002647017	0.0008898064	0.0000000000	-0.0002169021	-323.9911892481	0.0000000000	0.0000000000	0.0475216562	-8.4115313017	0.9529874035	mm
NCB1544	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0693081104	0.0825229930	5.5420478249	0.0010131342	0.0005266094	0.0000000000	-0.0009549370	0.0009297920	0.0000000000	0.0002246807	323.9911892481	0.0000000000	0.0000000000	-0.0475216562	9.2077649379	-0.6754955742	mm
NCB1455	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0174942164	-0.0279217666	3.6850568709	-0.0083718600	0.0006139253	0.0000000000	0.0001414218	-0.0002251208	0.0000000000	0.0001466605	-348.7598828236	0.0000000000	0.0000000000	-0.2042842382	-7.2320746697	0.9807371576	mm
NCB1455	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0800047694	-0.0291503955	3.6880130536	-0.0105047677	0.0025342190	0.0000000000	-0.0004663158	-0.0002603106	0.0000000000	0.0004700446	348.7598828236	0.0000000000	0.0000000000	0.2042842382	8.6648776833	-0.6521750068	mm
NCB1471	0	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0222002715	-0.0220737974	4.3281162685	-0.0057232716	0.0002833859	0.0000000000	0.0002174994	0.0000325299	0.0000000000	-0.0072013367	-349.1013792136	0.0000000000	0.0000000000	-0.1401250789	-6.8372612014	2.4041309317	mm
NCB1471	1	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0915803859	-0.0341290953	4.3229129254	-0.0058167565	0.0003336704	0.0000000000	0.0001918505	0.0000132447	0.0000000000	-0.0072710531	349.1013792136	0.0000000000	0.0000000000	0.1401250789	8.4929460956	2.0159972577	mm
NCB1447	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0355990487	0.1031118703	5.5480808804	0.0017905833	0.0006628330	0.0000000000	-0.0003439870	0.0003663812	0.0000000000	0.0004598922	-321.2195119559	0.0000000000	0.0000000000	-0.5311974875	-8.8910628377	-1.9599730648	mm
NCB1447	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.1026305359	0.0462764749	5.5466611521	0.0016633847	0.0003935496	0.0000000000	-0.0008183750	0.0004256039	0.0000000000	-0.0000333741	321.2195119559	0.0000000000	0.0000000000	0.5311974875	8.1984818835	-1.7952085582	mm
NCB1542	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0355990487	0.1031118703	5.5480808804	0.0017905833	0.0006628330	0.0000000000	-0.0003439870	0.0003663812	0.0000000000	0.0004598922	-321.2195119559	0.0000000000	0.0000000000	-0.5311974875	-8.8910628377	-1.9599730648	mm
NCB1542	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.1026305359	0.0462764749	5.5466611521	0.0016633847	0.0003935496	0.0000000000	-0.0008183750	0.0004256039	0.0000000000	-0.0000333741	321.2195119559	0.0000000000	0.0000000000	0.5311974875	8.1984818835	-1.7952085582	mm
NCB1484	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0838567058	-0.0170050816	3.6933872366	-0.0096130812	0.0010843917	0.0000000000	0.0003941894	0.0001027983	0.0000000000	0.0003645567	-345.6788347096	0.0000000000	0.0000000000	-0.1393002021	-8.0546511722	-0.3089439673	mm
NCB1484	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	-0.0094773371	0.0293496701	3.6755398153	-0.0082855451	0.0006215968	0.0000000000	0.0003406373	-0.0004246977	0.0000000000	0.0003166707	345.6788347096	0.0000000000	0.0000000000	0.1393002021	6.9904969559	1.1840544135	mm
NCB1451	0	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0915803859	-0.0341290953	4.3229129254	-0.0058167565	0.0003336704	0.0000000000	0.0001918505	0.0000132447	0.0000000000	-0.0072710531	349.1013792136	0.0000000000	0.0000000000	0.1401250789	8.4929460956	2.0159972577	mm
NCB1451	1	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0222002715	-0.0220737974	4.3281162685	-0.0057232716	0.0002833859	0.0000000000	0.0002174994	0.0000325299	0.0000000000	-0.0072013367	-349.1013792136	0.0000000000	0.0000000000	-0.1401250789	-6.8372612014	2.4041309317	mm
NCB1470	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0355990487	0.1031118703	5.5480808804	0.0017905833	0.0006628330	0.0000000000	-0.0003439870	0.0003663812	0.0000000000	0.0004598922	-321.2195119559	0.0000000000	0.0000000000	-0.5311974875	-8.8910628377	-1.9599730648	mm
NCB1470	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.1026305359	0.0462764749	5.5466611521	0.0016633847	0.0003935496	0.0000000000	-0.0008183750	0.0004256039	0.0000000000	-0.0000333741	321.2195119559	0.0000000000	0.0000000000	0.5311974875	8.1984818835	-1.7952085582	mm
NCB1446	0	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0035905729	-0.0903088286	4.3245508186	-0.0060976805	0.0003418280	0.0000000000	-0.0000648945	0.0001685574	0.0000000000	-0.0074364430	-248.5192936805	0.0000000000	0.0000000000	0.0090859332	-5.0331796033	0.8194328428	mm
NCB1446	1	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0763320734	0.0126605572	4.3382705789	-0.0069405600	0.0006585435	0.0000000000	0.0002942313	0.0000478209	0.0000000000	-0.0070582588	248.5192936805	0.0000000000	0.0000000000	-0.0090859332	4.6775931213	0.8053619858	mm
NCB1479	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0581120352	0.0046977397	5.5370961825	-0.0002981559	0.0012627388	0.0000000000	-0.0004578390	-0.0003456260	0.0000000000	0.0001237518	-323.2527034671	0.0000000000	0.0000000000	-0.4965983796	-7.2494276064	2.2514657618	mm
NCB1479	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0315188117	0.0564255984	5.5403123167	-0.0003465647	0.0009935350	0.0000000000	-0.0004302964	0.0004576537	0.0000000000	0.0000476433	323.2527034671	0.0000000000	0.0000000000	0.4965983796	8.5100317354	-0.4405396014	mm
NCB1487	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0408439963	0.0872088543	5.5676137910	0.0019864570	0.0003216347	0.0000000000	-0.0007738287	0.0008903610	0.0000000000	-0.0004527913	-323.6205581256	0.0000000000	0.0000000000	-0.3193856674	-7.6343987781	1.0424549426	mm
NCB1487	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0366051190	0.0734015665	5.5456411230	-0.0000688775	0.0008549194	0.0000000000	-0.0005681353	0.0002444009	0.0000000000	-0.0001224735	323.6205581256	0.0000000000	0.0000000000	0.3193856674	8.5537718827	-1.4096942789	mm
NCB1536	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0408439963	0.0872088543	5.5676137910	0.0019864570	0.0003216347	0.0000000000	-0.0007738287	0.0008903610	0.0000000000	-0.0004527913	-323.6205581256	0.0000000000	0.0000000000	-0.3193856674	-7.6343987781	1.0424549426	mm
NCB1536	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0366051190	0.0734015665	5.5456411230	-0.0000688775	0.0008549194	0.0000000000	-0.0005681353	0.0002444009	0.0000000000	-0.0001224735	323.6205581256	0.0000000000	0.0000000000	0.3193856674	8.5537718827	-1.4096942789	mm
NCB1492	0	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0222002715	-0.0220737974	4.3281162685	-0.0057232716	0.0002833859	0.0000000000	0.0002174994	0.0000325299	0.0000000000	-0.0072013367	-349.1013792136	0.0000000000	0.0000000000	-0.1401250789	-6.8372612014	2.4041309317	mm
NCB1492	1	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0915803859	-0.0341290953	4.3229129254	-0.0058167565	0.0003336704	0.0000000000	0.0001918505	0.0000132447	0.0000000000	-0.0072710531	349.1013792136	0.0000000000	0.0000000000	0.1401250789	8.4929460956	2.0159972577	mm
NCB1464	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0235108746	0.0853227239	5.5698458710	0.0003777803	0.0007662831	0.0000000000	-0.0002647017	0.0008898064	0.0000000000	-0.0002169021	-323.9911892481	0.0000000000	0.0000000000	0.0475216562	-8.4115313017	0.9529874035	mm
NCB1464	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0693081104	0.0825229930	5.5420478249	0.0010131342	0.0005266094	0.0000000000	-0.0009549370	0.0009297920	0.0000000000	0.0002246807	323.9911892481	0.0000000000	0.0000000000	-0.0475216562	9.2077649379	-0.6754955742	mm
NCB1461	0	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0222002715	-0.0220737974	4.3281162685	-0.0057232716	0.0002833859	0.0000000000	0.0002174994	0.0000325299	0.0000000000	-0.0072013367	-349.1013792136	0.0000000000	0.0000000000	-0.1401250789	-6.8372612014	2.4041309317	mm
NCB1461	1	GoPro Hero3 Silver Medium Water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0915803859	-0.0341290953	4.3229129254	-0.0058167565	0.0003336704	0.0000000000	0.0001918505	0.0000132447	0.0000000000	-0.0072710531	349.1013792136	0.0000000000	0.0000000000	0.1401250789	8.4929460956	2.0159972577	mm
NCB1467	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0408439963	0.0872088543	5.5676137910	0.0019864570	0.0003216347	0.0000000000	-0.0007738287	0.0008903610	0.0000000000	-0.0004527913	-323.6205581256	0.0000000000	0.0000000000	-0.3193856674	-7.6343987781	1.0424549426	mm
NCB1467	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0366051190	0.0734015665	5.5456411230	-0.0000688775	0.0008549194	0.0000000000	-0.0005681353	0.0002444009	0.0000000000	-0.0001224735	323.6205581256	0.0000000000	0.0000000000	0.3193856674	8.5537718827	-1.4096942789	mm
NCB1539	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0581120352	0.0046977397	5.5370961825	-0.0002981559	0.0012627388	0.0000000000	-0.0004578390	-0.0003456260	0.0000000000	0.0001237518	-323.2527034671	0.0000000000	0.0000000000	-0.4965983796	-7.2494276064	2.2514657618	mm
NCB1539	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0315188117	0.0564255984	5.5403123167	-0.0003465647	0.0009935350	0.0000000000	-0.0004302964	0.0004576537	0.0000000000	0.0000476433	323.2527034671	0.0000000000	0.0000000000	0.4965983796	8.5100317354	-0.4405396014	mm
NCB1541	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0658554980	0.0368390063	5.5554108266	0.0004337833	0.0007618153	0.0000000000	-0.0009934665	0.0003598408	0.0000000000	0.0006784606	-323.1280081329	0.0000000000	0.0000000000	0.2542022434	-7.6036242571	0.0718146219	mm
NCB1541	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0059218022	0.0778428902	5.5538965408	0.0006582285	0.0006255955	0.0000000000	0.0000125792	0.0001761650	0.0000000000	-0.0008295421	323.1280081329	0.0000000000	0.0000000000	-0.2542022434	8.3227925710	4.7298853136	mm
