OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
NCB1544	0	0	1614.43299	830.10309	403.29897	821.44330
NCB1544	1	0	1506.93814	746.61856	1295.52577	744.48454
NCB1544	1	1	1625.49485	744.55670	1401.50515	742.01031
NCB1544	2	0	1337.31959	995.87629	744.74227	993.40206
NCB1544	2	1	1545.15464	999.58763	981.03093	1002.06186
NCB1544	3	0	848.42268	947.59794	424.32990	931.54639
NCB1544	3	1	994.60825	909.24742	614.84536	898.14433
NCB1544	4	0	1665.46392	572.64948	1668.86598	555.23711
NCB1544	4	1	1737.52577	551.92784	1734.43299	530.49485
NCB1544	5	0	1375.69072	479.84536	1641.03093	458.37113
NCB1544	5	1	1436.61856	485.72165	1709.07216	462.39175
NCB1544	6	0	1452.63918	552.50515	1342.26804	539.55670
NCB1544	6	1	1550.06186	551.88660	1440.30928	538.01031
NCB1544	7	0	1447.50515	539.52577	1330.20619	525.86598
NCB1544	7	1	1614.20619	534.57732	1475.87629	517.20619
NCB1544	8	0	1487.58763	649.43299	1325.53608	641.04124
NCB1544	8	1	1729.13402	637.68041	1520.07216	625.26804
NCB1544	9	0	421.49485	519.59794	151.29897	530.83505
NCB1544	9	1	562.83505	544.34021	336.24742	549.70103
NCB1544	10	0	970.39175	638.93814	481.47423	636.85567
NCB1544	10	1	1094.30928	752.54639	623.12371	745.10309
NCB1544	11	0	836.28866	138.55670	708.86598	152.16495
NCB1544	11	1	1217.31959	124.94845	1075.05155	107.62887
NCB1544	12	0	1183.91753	676.70103	799.17526	671.75258
NCB1544	12	1	1386.80412	598.76289	1014.43299	590.10309
NCB1544	13	0	1105.24742	518.53608	743.71134	515.83505
NCB1544	13	1	1319.06186	539.36082	961.03093	532.12371
NCB1544	14	0	1058.96907	439.17526	948.86598	435.46392
NCB1544	15	0	539.38144	536.90722	336.49485	545.56701
NCB1544	15	1	762.06186	581.44330	554.22680	581.44330
NCB1544	16	0	441.64948	489.89691	317.93814	503.50515
NCB1544	16	1	621.03093	524.53608	480.00000	529.48454
NCB1544	17	0	964.94845	771.95876	612.37113	762.06186
NCB1544	18	0	1122.06186	630.92784	686.59794	621.03093
NCB1544	18	1	1511.75258	665.56701	1046.59794	660.61856
NCB1544	19	0	1397.94845	357.83505	1015.71134	343.57732
NCB1544	19	1	1631.76289	326.90722	1204.37113	300.48454
NCB1544	20	0	848.65979	726.18557	477.52577	721.23711
NCB1544	20	1	1046.59794	760.82474	658.14433	754.63918
NCB1544	21	0	87.83505	680.41237	44.53608	679.17526
NCB1544	22	0	1270.51546	957.52577	794.22680	957.52577
NCB1544	22	1	1512.98969	885.77320	993.40206	884.53608
NCB1544	23	0	44.53608	680.41237	118.76289	676.70103
NCB1544	23	1	148.45361	696.49485	183.09278	695.25773
NCB1544	24	0	1656.49485	789.27835	1302.68041	791.75258
NCB1544	24	1	1876.70103	780.38144	1468.45361	775.67010
NCB1544	25	0	252.37113	586.39175	56.28866	597.22680
NCB1544	25	1	336.49485	598.76289	125.97938	604.85567
NCB1544	26	0	965.81443	437.53608	652.13402	436.21649
NCB1544	26	1	1073.23711	368.25773	762.23711	364.67010
NCB1544	27	0	99.25773	526.90722	238.58763	541.86598
NCB1544	27	1	224.61856	551.23711	331.57732	561.04124
NCB1544	28	0	842.58763	675.15464	668.57732	671.26804
NCB1544	28	1	961.76289	654.74227	784.65979	649.82474
NCB1544	29	0	348.86598	544.32990	484.94845	552.98969
NCB1544	30	0	1239.58763	969.89691	648.24742	964.94845
NCB1544	30	1	1411.54639	867.21649	771.95876	869.69072
NCB1544	31	0	1343.91753	513.05155	1489.52577	497.30928
NCB1544	31	1	1444.74227	509.54639	1570.96907	490.71134
NCB1544	32	0	1567.68041	605.46392	1562.07216	593.45361
NCB1544	32	1	1696.54639	555.56701	1681.24742	537.16495
NCB1544	33	0	616.39175	229.10309	424.21649	252.34021
NCB1544	33	1	783.81443	244.56701	601.53608	257.70103
NCB1544	34	0	131.13402	554.22680	267.52577	565.18557
NCB1544	34	1	217.73196	544.32990	334.32990	553.22680
NCB1544	35	0	508.02062	581.17526	244.89691	587.01031
NCB1544	35	1	719.97938	582.82474	447.98969	584.74227
NCB1544	36	0	1286.94845	873.76289	878.36082	870.96907
NCB1544	36	1	1459.31959	895.82474	1028.25773	896.12371
NCB1544	37	0	1380.34021	266.60825	1178.23711	244.27835
NCB1544	37	1	1507.14433	350.31959	1299.68041	328.81443
NCB1544	38	0	795.46392	674.22680	481.23711	671.75258
NCB1544	39	0	1159.17526	966.18557	528.54639	957.46392
NCB1544	39	1	1360.35052	896.21649	741.12371	890.45361
NCB1544	40	0	743.50515	648.24742	320.41237	644.53608
NCB1544	40	1	885.77320	745.97938	399.58763	739.79381
NCB1544	41	0	1587.83505	722.70103	1040.39175	721.98969
NCB1544	41	1	1840.82474	722.39175	1270.80412	709.00000
NCB1544	42	0	1074.81443	430.67010	785.44330	428.05155
NCB1544	42	1	1250.89691	413.55670	953.27835	404.95876
NCB1544	43	0	677.93814	285.77320	294.43299	306.80412
