OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
NCB1544	Mike	40.8		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.4311	Longitude	116.4894	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 13	TimeIn	9:23:00
NCB1455	Mike	42.9		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.3333	Longitude	116.4701	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	12:56:00
NCB1471	Mike	53.1		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1822	Longitude	116.4013	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	8:19:00
NCB1447	Mike	39.5		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.411	Longitude	116.4724	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	12:14:00
NCB1542	Mike	38.8		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.441	Longitude	116.5079	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 13	TimeIn	9:06:00
NCB1484	Mike	52.7		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.0901	Longitude	116.3673	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	10:50:00
NCB1451	Mike	41.5		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.3708	Longitude	116.4708	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	12:33:00
NCB1470	Mike	52.6		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1901	Longitude	116.4077	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	8:14:00
NCB1446	Mike	39.8		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.4193	Longitude	116.4754	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	12:09:00
NCB1479	Mike	50.9		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1084	Longitude	116.3733	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	10:24:00
NCB1487	Mike	55.8		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.0876	Longitude	116.3953	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	12:18:00
NCB1536	Mike	23.7		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.4603	Longitude	116.55	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 13	TimeIn	8:24:00
NCB1492	Mike	51.5		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.0625	Longitude	116.4193	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	12:54:00
NCB1464	Mike	46.7		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.2437	Longitude	116.4442	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	15:10:00
NCB1461	Mike	45.1		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.2725	Longitude	116.4562	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	14:54:00
NCB1467	Mike	50.5		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.217	Longitude	116.4243	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	8:01:00
NCB1539	Mike	36.9		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.4513	Longitude	116.5296	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 13	TimeIn	8:43:00
NCB1541	Mike	38.2		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.4444	Longitude	116.5148	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 13	TimeIn	8:56:00
NCB1458	Mike	43.4		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.3048	Longitude	116.4665	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	14:34:00
NCB1493	Mike	52.5		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.0572	Longitude	116.4162	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	12:58:00
NCB1475	Mike	53.6		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1476	Longitude	116.3804	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	8:38:00
NCB1478	Mike	56.4		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1187	Longitude	116.3747	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	10:20:00
NCB1477	Mike	56.6		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1271	Longitude	116.3739	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	10:15:00
NCB1472	Mike	53.8		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1737	Longitude	116.3953	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	8:23:00
NCB1495	Mike	50.8		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.0414	Longitude	116.4116	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	13:07:00
NCB1537	Mike	32.5		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.4575	Longitude	116.5448	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 13	TimeIn	8:30:00
NCB1462	Mike	45.9		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.2624	Longitude	116.4535	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	14:59:00
NCB1502	Mike	51.8		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1856	Longitude	116.3334	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	15:51:00
NCB1465	Mike	47.4		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.2333	Longitude	116.4375	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	15:15:00
NCB1473	Mike	53.9		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1659	Longitude	116.3887	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	8:29:00
NCB1500	Mike	52.2		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.173	Longitude	116.3182	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	15:42:00
NCB1490	Mike	54.3		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.0659	Longitude	116.4281	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	12:48:00
NCB1452	Mike	42.1		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.3619	Longitude	116.4712	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	12:39:00
NCB1474	Mike	53.5		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1574	Longitude	116.3835	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	8:33:00
NCB1482	Mike	53.3		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.0889	Longitude	116.3721	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	10:39:00
NCB1488	Mike	52.5		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.0728	Longitude	116.4365	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	12:37:00
NCB1480	Mike	54.3		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1009	Longitude	116.3725	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	10:29:00
NCB1543	Mike	40.2		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.4383	Longitude	116.4998	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 13	TimeIn	9:12:00
NCB1498	Mike	54.7		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1302	Longitude	116.3535	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	15:15:00
NCB1457	Mike	42.6		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.3139	Longitude	116.4695	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	14:28:00
NCB1485	Mike	53.7		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.0882	Longitude	116.3776	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	10:56:00
NCB1456	Mike	47.6		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.3227	Longitude	116.4691	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	14:25:00
NCB1489	Mike	46.2		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.0724	Longitude	116.4406	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	12:41:00
NCB1448	Mike	40.3		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.4011	Longitude	116.4711	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	12:19:00
NCB1450	Mike	40.6		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.3801	Longitude	116.4712	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	12:29:00
NCB1499	Mike	52.7		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1415	Longitude	116.3564	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	15:25:00
NCB1535	Mike	21.9		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.4633	Longitude	116.5557	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 13	TimeIn	8:19:00
NCB1466	Mike	49.8		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.2266	Longitude	116.4278	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	7:56:00
NCB1504	Mike	51.1		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1966	Longitude	116.3491	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	15:59:00
NCB1463	Mike	46.4		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.2522	Longitude	116.4516	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	15:03:00
NCB1496	Mike	50.7		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1122	Longitude	116.3633	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	15:05:00
NCB1483	Mike	54.3		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.0837	Longitude	116.3734	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	10:45:00
NCB1491	Mike	50.2		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.0644	Longitude	116.4224	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	12:51:00
NCB1460	Mike	44.9		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.2829	Longitude	116.4599	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	14:49:00
NCB1501	Mike	52.3		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1796	Longitude	116.3263	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	15:47:00
NCB1503	Mike	51.4		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1914	Longitude	116.3415	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	15:55:00
NCB1454	Mike	42.6		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.3431	Longitude	116.4696	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	12:50:00
NCB1468	Mike	51.5		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.2066	Longitude	116.4211	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	8:05:00
NCB1476	Mike	55		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1383	Longitude	116.3757	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	10:10:00
NCB1494	Mike	52.5		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.0495	Longitude	116.4138	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	13:02:00
NCB1486	Mike	54.8		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.0919	Longitude	116.3913	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	12:13:00
NCB1449	Mike	40		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.3908	Longitude	116.4712	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	12:23:00
NCB1538	Mike	34.2		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.4549	Longitude	116.5379	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 13	TimeIn	8:35:00
NCB1459	Mike	44		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.2944	Longitude	116.4628	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	14:42:00
NCB1540	Mike	38.1		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.4478	Longitude	116.5219	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 13	TimeIn	8:49:00
NCB1481	Mike	52.8		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.0936	Longitude	116.3726	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	10:35:00
NCB1469	Mike	51.8		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.1991	Longitude	116.4147	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 11	TimeIn	8:09:00
NCB1453	Mike	42.5		CampaignID	2015_09_Dampier.transect_stereoBRUVs	Latitude	-20.3528	Longitude	116.4711	Location	Dampier Offshore	Status	Fished	Site		Date	2015 09 10	TimeIn	12:44:00
