OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
NCB1544	1	NCB1544_L373.avi	12019	NCB1544_R374.avi	11072	8.01267	Time Seabed	0.28467	84.22479	1.99767	0.21488	1581.39406	14.58856	31.19892	4.31685	370.18401	-147.03425	-1530.40906	Mullidae	Upeneus	tragula	37355014	1	AD	Passing	NA	NA	NA
NCB1544	2	NCB1544_L373.avi	15726	NCB1544_R374.avi	14779	10.48400	Time Seabed	2.756	123.51046	0.63742	0.50659	1129.62034	13.41717	9.45819	2.99964	106.50533	-239.50301	-1098.78890	Pinguipedidae	Parapercis	clathrata	37390013	1	AD	Passing	NA	NA	NA
NCB1544	3	NCB1544_L373.avi	16396	NCB1544_R374.avi	15449	10.93067	Time Seabed	3.20267	119.76500	1.52074	0.47737	1313.71115	12.11149	34.80855	4.61099	-146.83437	-233.26975	-1284.46949	Pinguipedidae	Parapercis	clathrata	37390013	1	AD	Passing	NA	NA	NA
NCB1544	4	NCB1544_L373.avi	20334	NCB1544_R374.avi	19387	13.55600	Time Seabed	5.828	69.79601	4.01883	0.20932	2040.79939	19.45069	49.88538	17.38155	679.49119	-10.79371	-1924.32777	Labridae	Choerodon	vitta	37384006	1	AD	Passing	NA	NA	NA
NCB1544	5	NCB1544_L373.avi	20349	NCB1544_R374.avi	19402	13.56600	Time Seabed	5.838	95.58836	7.62280	0.15517	3403.01349	15.36113	25.65461	5.47031	895.54648	103.13216	-3281.44192	Labridae	Choerodon	vitta	37384006	1	AD	Passing	NA	NA	NA
NCB1544	6	NCB1544_L373.avi	20364	NCB1544_R374.avi	19417	13.57600	Time Seabed	5.848	80.06232	1.90334	0.74954	1801.47841	13.24911	18.90160	0.70430	412.85730	-3.51335	-1753.52814	Labridae	Choerodon	vitta	37384006	1	AD	Passing	NA	NA	NA
NCB1544	7	NCB1544_L373.avi	23679	NCB1544_R374.avi	22732	15.78600	Time Seabed	8.058	137.82956	2.90287	0.37880	1760.32230	13.75397	39.33864	2.14089	418.40934	9.71745	-1709.84613	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	NA	NA
NCB1544	8	NCB1544_L373.avi	23711	NCB1544_R374.avi	22764	15.80733	Time Seabed	8.07933	187.56426	2.78343	0.14850	1637.42408	15.17166	46.65742	5.26920	422.35804	-72.48732	-1580.35341	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	NA	NA
NCB1544	9	NCB1544_L373.avi	23713	NCB1544_R374.avi	22766	15.80867	Time Seabed	8.08067	135.42315	2.52360	0.83585	1517.70933	15.85714	50.78676	6.21496	-414.69356	2.02212	-1459.95438	Mullidae	Parupeneus	heptacanthus	37355004	1	AD	Passing	NA	NA	NA
NCB1544	10	NCB1544_L373.avi	24166	NCB1544_R374.avi	23219	16.11067	Time Seabed	8.38267	104.00128	0.77631	0.52132	1208.61501	6.21979	16.92612	39.13042	-97.32512	-87.60329	-1201.50062	Monacanthidae	Paramonacanthus	choirocephalus	37465064	1	AD	Passing	NA	NA	NA
