"","campaignid","family","genus","species","family_correct","genus_correct","species_correct"
"1","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Synodontidae","Trachinocephalus","myops","Synodontidae","Trachinocephalus","trachinus"
"3","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Tetraodontidae","Canthigaster","coronata","Tetraodontidae","Canthigaster","axiologus"
"4","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Apogonidae","Apogon","doederleini","Apogonidae","Ostorhinchus","doederleini"
"5","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"6","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Dasyatidae","Neotrygon","kuhlii","Dasyatidae","Neotrygon","australiae"
"7","2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"8","2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"9","2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","Haemulidae","Plectorhinchus","unicolor","Haemulidae","Plectorhinchus","schotaf"
"10","2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","Priacanthidae","Priacamthus","hamrur","Priacanthidae","Priacanthus","hamrur"
"11","2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","Labridae","Oxycheilinus","rhodochrous","Labridae","Oxycheilinus","orientalis"
"12","2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","Dasyatidae","Neotrygon","kuhlii","Dasyatidae","Neotrygon","australiae"
"13","2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","Dasyatidae","Himantura","granulata","Dasyatidae","Urogymnus","granulatus"
