"","campaignid","family","genus","species","family_correct","genus_correct","species_correct"
"1","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Haemulidae","Diagramma","labiosum","Haemulidae","Diagramma","pictum labiosum"
"2","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
"3","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Apogonidae","Apogon","doederleini","Apogonidae","Ostorhinchus","doederleini"
"4","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Muraenidae","Gymnothorax","thrysoideus","Muraenidae","Gymnothorax","thyrsoideus"
"5","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Synodontidae","Trachinocephalus","myops","Synodontidae","Trachinocephalus","trachinus"
"6","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Apogonidae","Apogon","monospilus","Apogonidae","Ostorhinchus","monospilus"
"7","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Tetraodontidae","Canthigaster","coronata","Tetraodontidae","Canthigaster","axiologus"
"8","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Labridae","Oxycheilinus","rhodochrous","Labridae","Oxycheilinus","orientalis"
"9","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Dasyatidae","Himantura","jenkinsii","Dasyatidae","Pateobatis","jenkinsii"
"10","2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","Dasyatidae","Neotrygon","kuhlii","Dasyatidae","Neotrygon","australiae"
"11","2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","Haemulidae","Diagramma","pictum","Haemulidae","Diagramma","pictum labiosum"
"12","2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","Dasyatidae","Himantura","fai","Dasyatidae","Pateobatis","fai"
"13","2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","Labridae","Oxycheilinus","rhodochrous","Labridae","Oxycheilinus","orientalis"
"14","2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","Priacanthidae","Priacamthus","hamrur","Priacanthidae","Priacanthus","hamrur"
"15","2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","Rhynchobatidae","Rhynchobatus","australiae","Rhinidae","Rhynchobatus","australiae"
