"campaignid","sample","family","genus","species","length"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB221","Carcharhinidae","Carcharhinus","amblyrhynchos",1060.23603
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB124","Sphyraenidae","Sphyraena","barracuda",1159.52267
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB224","Serranidae","Epinephelus","tukula",1377.05503
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB98","Carcharhinidae","Triaenodon","obesus",1207.96538
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB47","Carcharhinidae","Galeocerdo","cuvier",2065.70566
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB189","Carcharhinidae","Negaprion","acutidens",2356.58118
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB241","Scombridae","Scomberomorus","spp",1025.41105
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB181","Carcharhinidae","Carcharhinus","amblyrhynchos",1258.28245
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB85","Sphyrnidae","Sphyrna","lewini",1452.53563
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB253","Carcharhinidae","Negaprion","acutidens",1955.3459
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB208","Carcharhinidae","Negaprion","acutidens",1986.75335
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB152","Carcharhinidae","Triaenodon","obesus",1005.95514
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB250","Carcharhinidae","Carcharhinus","amboinensis",1513.17464
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB126","Scombridae","Scomberomorus","spp",1001.75704
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB186","Carcharhinidae","Carcharhinus","amblyrhynchos",1155.95713
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB61","Sphyraenidae","Sphyraena","barracuda",1222.45532
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB218","Sphyraenidae","Sphyraena","barracuda",1318.60004
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB44","Carcharhinidae","Carcharhinus","limbatus",1135.8324
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB71","Carcharhinidae","Carcharhinus","melanopterus",1030.8979
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB84","Carangidae","Caranx","ignobilis",1050.66007
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB150","Carcharhinidae","Galeocerdo","cuvier",3292.3517
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB120","Carcharhinidae","Triaenodon","obesus",1223.25215
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB210","Carcharhinidae","Carcharhinus","amblyrhynchos",1171.60794
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB210","Serranidae","Epinephelus","tukula",1281.79242
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB137","Carcharhinidae","Triaenodon","obesus",1041.10409
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB137","Carcharhinidae","Carcharhinus","amblyrhynchos",1641.67568
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB183","Carcharhinidae","Negaprion","acutidens",1831.95257
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB145","Sphyraenidae","Sphyraena","jello",1134.70245
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Carcharhinidae","Galeocerdo","cuvier",1742.88921
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB234","Elopidae","Elops","hawaiensis",1004.46044
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB39","Ginglymostomatidae","Nebrius","ferrugineus",1366.37224
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB201","Ginglymostomatidae","Nebrius","ferrugineus",1265.34301
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB246","Scombridae","Scomberomorus","spp",1031.89624
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB114","Ginglymostomatidae","Nebrius","ferrugineus",1929.00594
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB114","Carcharhinidae","Triaenodon","obesus",1419.27699
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB148","Ginglymostomatidae","Nebrius","ferrugineus",1763.10362
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB148","Carcharhinidae","Galeocerdo","cuvier",1046.0138
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB55","Carcharhinidae","Galeocerdo","cuvier",2837.85604
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB219","Sphyraenidae","Sphyraena","barracuda",1196.87599
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB171","Carcharhinidae","Carcharhinus","amblyrhynchos",1124.29847
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB59","Rachycentridae","Rachycentron","canadum",1032.84034
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB59","Carcharhinidae","Triaenodon","obesus",1214.78076
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB212","Carcharhinidae","Triaenodon","obesus",1315.1319
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB227","Carcharhinidae","Triaenodon","obesus",1108.82775
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB227","Carcharhinidae","Galeocerdo","cuvier",2152.26926
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB162","Carcharhinidae","Triaenodon","obesus",1236.37378
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB162","Carcharhinidae","Carcharhinus","amblyrhynchos",1331.91345
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB52","Rhinidae","Rhina","ancylostoma",1512.30249
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB220","Carcharhinidae","Carcharhinus","amblyrhynchos",1219.29313
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB265","Serranidae","Epinephelus","malabaricus",1135.6382
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB188","Carcharhinidae","Triaenodon","obesus",1217.9543
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB188","Carcharhinidae","Carcharhinus","amblyrhynchos",1125.23692
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB67","Carcharhinidae","Negaprion","acutidens",1858.11565
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB24","Serranidae","Epinephelus","lanceolatus",1502.05426
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB157","Ginglymostomatidae","Nebrius","ferrugineus",1405.95993
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB157","Ginglymostomatidae","Nebrius","ferrugineus",1174.93144
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB157","Ginglymostomatidae","Nebrius","ferrugineus",1045.17771
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB229","Carcharhinidae","Carcharhinus","amblyrhynchos",1241.24974
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB53","Carcharhinidae","Carcharhinus","amblyrhynchos",1622.64963
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB53","Carcharhinidae","Galeocerdo","cuvier",2624.4536
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB53","Carcharhinidae","Galeocerdo","cuvier",2389.91804
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB95","Carcharhinidae","Carcharhinus","melanopterus",1039.75683
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB9","Sphyraenidae","Sphyraena","jello",1139.53511
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB119","Carcharhinidae","Carcharhinus","melanopterus",1012.2147
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB266","Serranidae","Epinephelus","malabaricus",1064.73138
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB81","Carcharhinidae","Carcharhinus","melanopterus",1028.92658
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB248","Carcharhinidae","Carcharhinus","amboinensis",1790.06245
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB244","Carcharhinidae","Carcharhinus","amblyrhynchos",1066.32846
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB25","Ginglymostomatidae","Nebrius","ferrugineus",1435.59642
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB25","Carcharhinidae","Triaenodon","obesus",1147.8137
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB125","Carcharhinidae","Negaprion","acutidens",1908.9066
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB116","Carcharhinidae","Triaenodon","obesus",1142.75746
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB80","Carcharhinidae","Carcharhinus","tilstoni",1075.4017
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB80","Carcharhinidae","Carcharhinus","melanopterus",1125.56557
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB262","Carcharhinidae","Carcharhinus","amblyrhynchos",1018.55488
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB262","Sphyrnidae","Sphyrna","mokarran",2983.66761
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB176","Dasyatidae","Taeniurops","meyeni",1211.339
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB140","Sphyrnidae","Sphyrna","mokarran",1850.01207
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB48","Carcharhinidae","Galeocerdo","cuvier",3159.82193
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB128","Carcharhinidae","Galeocerdo","cuvier",2499.12993
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB173","Rhinidae","Rhina","ancylostoma",1797.95586
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB264","Serranidae","Epinephelus","malabaricus",1091.99965
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB422","Rhynchobatidae","Rhynchobatus","australiae",1385.05963
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB433","Carcharhinidae","Carcharhinus","plumbeus",1279.66625
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB441","Carcharhinidae","Carcharhinus","plumbeus",1200.41317
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB497","Serranidae","Epinephelus","malabaricus",1082.96246
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB483","Carcharhinidae","Negaprion","acutidens",2135.83877
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB468","Serranidae","Epinephelus","tukula",1073.76678
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB453","Sphyraenidae","Sphyraena","jello",1030.06563
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB453","Sphyraenidae","Sphyraena","jello",1049.45689
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB470","Sphyraenidae","Sphyraena","jello",1366.7312
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB470","Sphyraenidae","Sphyraena","jello",1369.12368
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB470","Sphyraenidae","Sphyraena","jello",1186.17844
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB470","Sphyraenidae","Sphyraena","jello",1096.6002
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB470","Sphyraenidae","Sphyraena","jello",1053.73685
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB447","Serranidae","Epinephelus","coioides",1013.57805
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB506","Serranidae","Epinephelus","tukula",1042.83629
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB420","Carcharhinidae","Carcharhinus","amblyrhynchos",1033.42329
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB504","Serranidae","Epinephelus","tukula",1080.53976
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB455","Sphyraenidae","Sphyraena","jello",1102.13004
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB480","Hemigaleidae","Hemipristis","elongata",1246.31915
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB480","Sphyraenidae","Sphyraena","jello",1102.34179
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB424","Scombridae","Scomberomorus","spp",1063.4863
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB424","Carcharhinidae","Carcharhinus","plumbeus",2272.03471
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB394","Sphyraenidae","Sphyraena","jello",1085.00292
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB496","Carcharhinidae","Carcharhinus","limbatus",1941.19291
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB496","Ginglymostomatidae","Nebrius","ferrugineus",1283.48473
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB496","Serranidae","Epinephelus","malabaricus",1203.37713
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB464","Sphyraenidae","Sphyraena","jello",1127.36298
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB395","Carcharhinidae","Galeocerdo","cuvier",1215.24561
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB395","Carcharhinidae","Carcharhinus","limbatus",1709.33195
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB454","Serranidae","Epinephelus","malabaricus",1092.93763
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB435","Carcharhinidae","Carcharhinus","limbatus",2492.31072
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB435","Sphyrnidae","Sphyrna","lewini",1315.24424
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB508","Carangidae","Seriola","dumerili",1047.63107
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB456","Sphyraenidae","Sphyraena","jello",1181.01833
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB456","Sphyraenidae","Sphyraena","jello",1049.54995
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB456","Serranidae","Epinephelus","lanceolatus",2050.71012
