"campaignid","sample","family","genus","species","maxn","stereo.maxn","difference","percent.difference"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB547","Atherinidae","Unknown","spp",750,1,749,99.8666666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB172","Carangidae","Selaroides","leptolepis",150,90,60,40
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1293","Carangidae","Atule","mate",50,22,28,56
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB227","Clupeidae","Herklotsichthys","spp",50,23,27,54
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB126","Carangidae","Atule","mate",40,20,20,50
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB277","Caesionidae","Pterocaesio","tile",123,105,18,14.6341463414634
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB369","Caesionidae","Pterocaesio","tile",132,115,17,12.8787878787879
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB319","Didemnidae","Leptoclinides","variegatus",0,16,16,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB175","Apogonidae","Ostorhinchus","monospilus",102,87,15,14.7058823529412
"2015-01_Montebello.transect_stereoBRUVs","NCB624","Carangidae","Gnathanodon","speciosus",17,5,12,70.5882352941177
"2015-01_Montebello.transect_stereoBRUVs","NCB649","Carangidae","Atule","mate",41,29,12,29.2682926829268
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB277","Caesionidae","Pterocaesio","digramma",254,244,10,3.93700787401575
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","MNCB273","Haemulidae","Diagramma","pictum",0,9,9,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB137","Scaridae","Scarus","rivulatus",12,4,8,66.6666666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB66","Haemulidae","Diagramma","labiosum",0,8,8,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB154","Pomacentridae","Pomacentrus","coelestis",207,201,6,2.89855072463768
"2015-01_Montebello.transect_stereoBRUVs","NCB682","Nemipteridae","Pentapodus","porosus",15,21,6,40
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1548","Haemulidae","Diagramma","pictum",0,6,6,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB127","Haemulidae","Diagramma","labiosum",0,5,5,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB141","Labridae","Leptojulis","cyanopleura",156,151,5,3.2051282051282
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB284","Caesionidae","Pterocaesio","digramma",200,195,5,2.5
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB373","Caesionidae","Pterocaesio","tile",203,198,5,2.46305418719212
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1523","Carangidae","Atule","mate",12,7,5,41.6666666666667
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","MNCB317","Haemulidae","Diagramma","pictum",0,5,5,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB161","Caesionidae","Caesio","caerulaurea",12,8,4,33.3333333333333
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB162","Haemulidae","Diagramma","labiosum",0,4,4,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB188","Haemulidae","Diagramma","labiosum",0,4,4,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB206","Haemulidae","Diagramma","labiosum",0,4,4,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB26","Haemulidae","Diagramma","labiosum",0,4,4,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB394","Labridae","Cirrhilabrus","morrisoni",6,2,4,66.6666666666667
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB394","Labridae","Oxycheilinus","rhodochrous",0,4,4,Inf
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB443","Tetraodontidae","Lagocephalus","lunaris",6,2,4,66.6666666666667
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB451","Acanthuridae","Acanthurus","mata",27,23,4,14.8148148148148
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Labridae","Thalassoma","lunare",4,8,4,100
"2015-01_Montebello.transect_stereoBRUVs","NCB656","Labridae","Cirrhilabrus","temminckii",123,127,4,3.2520325203252
"2015-01_Montebello.transect_stereoBRUVs","NCB706","Carangidae","Atule","mate",5,1,4,80
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB103","Nemipteridae","Pentapodus","porosus",14,11,3,21.4285714285714
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB167","Nemipteridae","Pentapodus","emeryii",4,1,3,75
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB198","Pomacentridae","Chromis","viridis",12,9,3,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB251","Labridae","Cymolutes","torquatus",0,3,3,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB35","Carangidae","Atule","mate",4,1,3,75
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB386","Scombridae","Scomberomorus","spp",1,4,3,300
