Sample	Relief: 0. Flat substrate, sandy, rubble with few features. ~0 substrate slope.	Relief: 1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	Relief: 2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	Relief: 3. Good relief structure with some overhangs. >45 substrate slope.	fieldofview.Limited	fieldofview.Open	Biota: Consolidated	Biota: Macroalgae	Biota: Octocoral.Black	Biota: Sponges	Biota: Stony.corals	Biota: Unconsolidated
MNCB199	0.0	9.0	0.0	1.0	0.0	20.0	1.0	0.0	0.0	0.0	0.0	9.0
MNCB200	0.0	1.0	1.0	5.0	0.0	20.0	6.0	0.0	0.0	0.0	0.0	1.0
MNCB202	9.0	1.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MNCB203	0.0	3.0	0.0	2.0	0.0	20.0	2.0	0.0	0.0	0.0	0.0	3.0
MNCB204	0.0	0.0	0.0	12.0	0.0	20.0	9.0	0.0	0.0	0.0	3.0	0.0
MNCB205	0.0	1.0	0.0	9.0	0.0	20.0	8.0	0.0	0.0	0.0	1.0	1.0
MNCB206	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MNCB207	0.0	10.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MNCB208	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MNCB209	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MNCB210	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MNCB211	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MNCB212	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MNCB213	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MNCB214	0.0	10.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MNCB215	0.0	10.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MNCB216	4.0	6.0	0.0	0.0	0.0	20.0	0.0	6.0	0.0	0.0	0.0	4.0
MNCB217	5.0	15.0	0.0	0.0	0.0	20.0	0.0	15.0	0.0	0.0	0.0	5.0
MNCB218	0.0	10.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MNCB221	0.0	5.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	0.0
MNCB222	0.0	5.0	0.0	4.0	0.0	20.0	4.0	5.0	0.0	0.0	0.0	0.0
MNCB223	0.0	10.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MNCB224	1.0	6.0	0.0	2.0	0.0	20.0	2.0	5.0	0.0	0.0	0.0	2.0
MNCB225	0.0	10.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MNCB226	2.0	13.0	0.0	0.0	0.0	20.0	0.0	13.0	0.0	0.0	0.0	2.0
MNCB227	0.0	1.0	0.0	0.0	0.0	20.0	0.0	1.0	0.0	0.0	0.0	0.0
MNCB228	0.0	9.0	0.0	0.0	0.0	20.0	0.0	9.0	0.0	0.0	0.0	0.0
MNCB229	0.0	7.0	0.0	0.0	0.0	20.0	0.0	7.0	0.0	0.0	0.0	0.0
MNCB230	0.0	3.0	0.0	2.0	0.0	20.0	1.0	3.0	0.0	0.0	1.0	0.0
MNCB231	0.0	8.0	0.0	0.0	0.0	20.0	0.0	8.0	0.0	0.0	0.0	0.0
MNCB232	0.0	10.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MNCB233	0.0	10.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MNCB235	0.0	7.0	6.0	2.0	10.0	10.0	7.0	7.0	0.0	0.0	1.0	0.0
MNCB236	0.0	10.0	0.0	0.0	1.0	19.0	0.0	6.0	0.0	0.0	0.0	4.0
MNCB237	0.0	11.0	0.0	0.0	5.0	15.0	0.0	1.0	5.0	0.0	0.0	5.0
MNCB238	0.0	9.0	0.0	0.0	0.0	20.0	0.0	2.0	0.0	0.0	0.0	7.0
MNCB239	0.0	10.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
