OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
NCB1351	0	0	1187.88785	818.07309	836.18692	812.09302
NCB1351	1	0	423.47664	944.85050	58.61682	863.52159
NCB1351	1	1	318.20561	977.14286	2.39252	875.48173
NCB1351	2	0	1336.22430	673.35548	909.15888	661.39535
NCB1351	2	1	1463.02804	766.64452	966.57944	773.82060
NCB1351	3	0	592.14953	856.34551	191.40187	786.97674
NCB1351	3	1	523.96262	941.26246	25.12150	851.56146
NCB1351	4	0	1443.88785	875.48173	741.68224	873.08970
NCB1351	4	1	1300.33645	870.69767	529.94393	846.77741
NCB1351	5	0	1291.96262	721.19601	848.14953	699.66777
NCB1351	5	1	1216.59813	798.93688	692.63551	786.97674
NCB1351	6	0	1300.33645	641.06312	861.30841	621.92691
NCB1351	6	1	1191.47664	715.21595	687.85047	704.45183
NCB1351	7	0	1132.85981	723.58804	735.70093	706.84385
NCB1351	7	1	972.56075	801.32890	587.36449	773.82060
NCB1351	8	0	1242.91589	825.24917	769.19626	809.70100
NCB1351	8	1	1094.57944	753.48837	655.55140	725.98007
NCB1351	9	0	642.39252	955.61462	92.11215	876.67774
NCB1351	9	1	673.49533	897.00997	208.14953	839.60133
NCB1351	10	0	974.95327	761.86047	624.44860	731.96013
NCB1351	10	1	850.54206	783.38870	506.01869	733.15615
NCB1351	11	0	753.64486	812.09302	458.16822	767.84053
NCB1351	11	1	831.40187	791.76080	551.47664	764.25249
NCB1351	12	0	1264.44860	755.88040	843.36449	757.07641
NCB1351	12	1	1161.57009	697.27575	742.87850	685.31561
NCB1351	13	0	1130.46729	952.02658	379.21495	910.16611
NCB1351	13	1	929.49533	932.89037	245.23364	875.48173
NCB1351	14	0	1063.47664	825.24917	666.31776	800.13289
NCB1351	14	1	919.92523	869.50166	526.35514	836.01329
NCB1351	15	0	857.71963	785.78073	504.82243	752.29236
NCB1351	15	1	982.13084	748.70432	654.35514	718.80399
NCB1351	16	0	757.23364	814.48505	279.92523	764.25249
NCB1351	16	1	565.83178	856.34551	100.48598	779.80066
