Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,MaxN.complete.(dd/mm/yy),MaxN.Checker,OldDate,Opcode-old,Boat,L.cam,R.cam,L.card,R.card,Raw.HD,Con.HD,Time.In,Time.Out,Waypoint,Field.staff,Habitat.Image.(Y/N),Habitat.classification.(Y/N),Length.analyst,Length.completed.(dd/mm/yy)
NCB1275,-22.2891,114.1512,20150830,8:44:00,South.Exmouth.Gulf,Fished,NA,4.7m,Ross Gillis,Yes,Yes,NA,18/07/2016,Todd Bond,30/08/2015,NCB1275,Keshi,371,372,ME8,A,6,7,8:44:00,10:05,352,Todd & Ryan,Y,Y,Ross Gillis,2/09/2016
NCB1276a,-22.2909,114.1566,20150830,8:52:00,South.Exmouth.Gulf,Fished,NA,5.8,Ross Gillis,Yes,Not sure,NA,18/07/2016,Todd Bond,30/08/2015,NCB1276,Keshi,377,378,ME12,ME14,6,7,8:52:00,10:17,354,Todd & Ryan,Y,Y,Ross Gillis,2/09/2016
NCB1277,-22.2919,114.1618,20150830,9:01:00,South.Exmouth.Gulf,Fished,NA,6.6,Ross Gillis,Yes,Yes,NA,19/07/2016,Todd Bond,30/08/2015,NCB1277,Keshi,367,368,ME10,ME13,6,7,9:01:00,10:23,356,Todd & Ryan,Y,Y,Ross Gillis,2/09/2016
NCB1278,-22.2937,114.167,20150830,9:08:00,South.Exmouth.Gulf,Fished,NA,6.7,Ross Gillis,Yes,Yes,NA,18/07/2016,Todd Bond,30/08/2015,NCB1278,Keshi,373,374,ME4,ME6,6,7,9:08:00,10:30,358,Todd & Ryan,Y,Y,Ross Gillis,3/09/2016
NCB1279,-22.2952,114.1721,20150830,9:14:00,South.Exmouth.Gulf,Fished,NA,6.8,Ross Gillis,Yes,Yes,NA,19/07/2016,Todd Bond,30/08/2015,NCB1279,Keshi,375,376,ME2,ME5,6,7,9:14:00,10:36,360,Todd & Ryan,Y,Y,Ross Gillis,3/09/2016
NCB1280,-22.2963,114.1775,20150830,9:20:00,South.Exmouth.Gulf,Fished,NA,5.6,Todd Bond,Yes,Yes,NA,22/02/2016,Matt Birt,30/08/2015,NCB1280,Keshi,422,423,39,21,7,7,9:20:00,10:44,362,Todd & Ryan,Y,Y,Ross Gillis,3/09/2016
NCB1281,-22.2985,114.1833,30/08/2015,9:26:00,South.Exmouth.Gulf,Fished,NA,6.2,Todd Bond,Yes,Yes,NA,30/03/2016,Ross Gillis,30/08/2015,NCB1281,Keshi,427,428,8,65,7,7,9:26:00,10:55,364,Todd & Ryan,Y,Y,Ross Gillis,15/09/2016
NCB1282,-22.303,114.1877,20150830,9:31:00,South.Exmouth.Gulf,Fished,NA,5.8,Ross Gillis,Flips half way,Yes,NA,6/04/2016,Todd Bond,30/08/2015,NCB1282,Keshi,441,442,11,51,7,7,9:31:00,11:03,366,Todd & Ryan,Y,Y,Ross Gillis,15/09/2016
NCB1283_re-do,-22.3081,114.1901,20150830,9:38 PM,South.Exmouth.Gulf,Fished,NA,5.9,Ross Gillis,Yes,Yes,NA,13/04/2016,Todd Bond,30/08/2015,NCB1283,Keshi,439,440,16,17,7,7,9:38:00,11:10,368,Todd & Ryan,Y,Y,Ross Gillis,3/09/2016
NCB1284,-22.313,114.1922,20150830,9:43:00,South.Exmouth.Gulf,Fishes,NA,6,Ross Gillis,Yes,Yes,NA,20/05/2016,Todd Bond,30/08/2015,NCB1284,Keshi,420,421,20,3,7,7,9:43:00,11:17,370,Todd & Ryan,Y,Y,Ross Gillis,3/09/2016
NCB1285,-22.3174,114.1938,20150830,11:29:00,South.Exmouth.Gulf,Fished,NA,5.9,Ross Gillis,Yes,Yes,NA,23/05/2016,Todd Bond,30/08/2015,NCB1285,Keshi,420,421,6,26,7,7,11:29:00,13:14,372,Todd & Ryan,Y,Y,Ross Gillis,5/09/2016
NCB1286,-22.3215,114.196,20150830,11:34:00,South.Exmouth.Gulf,Fished,NA,Shallow,Ross Gillis,Yes,Yes,NA,23/05/2016,Todd Bond,30/08/2015,NCB1286,Keshi,439,440,14,2,7,7,11:34:00,13:20,374,Todd & Ryan,Y,Y,Ross Gillis,5/09/2016
NCB1287,-22.3258,114.1977,30th August 2015,11:42:00,South.Exmouth.Gulf,Fished,NA,5.8,Ross Gillis,Yes,Yes,NA,24/05/2016,Todd Bond,30/08/2015,NCB1287,Keshi,441,442,69,51,7,7,11:42:00,13:26,376,Todd & Ryan,Y,Y,Ross Gillis,5/09/2016
NCB1288,-22.3295,114.1999,20150830,11:48:00,South.Exmouth.Gulf,Fished,NA,5.4,Ross Gillis,Yes,Yes,NA,24/05/2016,Todd Bond,30/08/2015,NCB1288,Keshi,427,428,46,44,7,7,11:48:00,13:31,378,Todd & Ryan,Y,Y,Ross Gillis,5/09/2016
