OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
NCB1351	0	Analysis	NCB1351_L441.avi	6410	3.56468				0
NCB1297	0	Analysis	NCB1297_L367.avi	2745	1.83000				0
NCB1312	0	Analysis	NCB1312_L367.avi	2619	1.74600				0
NCB1358	0	Analysis	NCB1358_L441.avi	36526	20.31253				0
MNCB257	0	Analysis	MNCB257_L418.avi	6089	3.38616				0
MNCB235	0	Analysis	MNCB235_L511.avi	2100	1.16783				0
MNCB217	0	Analysis	MNCB217_L425.avi	5930	3.29774				0
NCB1352	0	Analysis	NCB1352_L439.avi	3002	1.66945				0
NCB1303	0	Analysis	NCB1303_L439.avi	3367	1.87243				0
NCB1353	0	Analysis	NCB1353_L420.avi	2358	1.31131				0
NCB1307	0	Analysis	NCB1307_L439.avi	2037	1.13280				0
NCB1313	0	Analysis	NCB1313_L377.avi	1734	1.15600				0
NCB1347	0	Analysis	NCB1347_L439.avi	2972	1.65276				0
NCB1357	0	Analysis	NCB1357_L439.avi	2272	1.26349				0
MNCB216	0	Analysis	MNCB216_L418.avi	5228	2.90735				0
MNCB212	0	Analysis	MNCB212_L511.avi	4571	2.54199				0
MNCB252	0	Analysis	MNCB252_L416.avi	6797	3.77989				0
NCB1287	0	Analysis	NCB1287_L441.avi	2335	1.29852				0
NCB1315	0	Analysis	NCB1315_L371.avi	2167	1.44467				0
NCB1339	0	Analysis	NCB1339_L371.avi	3328	2.21867				0
NCB1286	0	Analysis	NCB1286_L439.avi	2505	1.39306				0
MNCB239	0	Analysis	MNCB239_L416.avi	3861	2.14715				0
MNCB219	0	Analysis	MNCB219_L416.avi	3502	1.94750				0
NCB1283	0	Analysis	NCB1283_L439.avi	2102	1.16895				0
NCB1278	0	Analysis	NCB1278_L373.avi	2136	1.42400				0
MNCB223	0	Analysis	MNCB223_L418.avi	7278	4.04738				0
NCB1334	0	Analysis	NCB1334_L422.avi	3326	1.84963				0
MNCB204	0	Analysis	MNCB204_R417.avi	1400	0.77856				0
NCB1324	0	Analysis	NCB1324_L420.avi	2145	1.19286				0
MNCB226	0	Analysis	MNCB226_L425.avi	5847	3.25158				0
NCB1290	0	Analysis	NCB1290_L375.avi	2278	1.51867				0
NCB1309	0	Analysis	NCB1309_L427.avi	2218	1.23346				0
NCB1288	0	Analysis	NCB1288_L427.avi	2791	1.55211				0
MNCB224	0	Analysis	MNCB224_L418.avi	2645	1.47092				0
NCB1345	0	Analysis	NCB1345_L422.avi	2923	1.62551				0
MNCB211	0	Analysis	MNCB211_L418.avi	6302	3.50462				0
MNCB236	0	Analysis	MNCB236_L425.avi	7652	4.25537				0
NCB1350	0	Analysis	NCB1350_L427.avi	4319	2.40185				0
