OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
NCB1351	0	NCB1351_L441.avi	5524	NCB1351_R442.avi	4584	3.07196	NA	-1	54.97523	-275.6663	-1434.11268	0.72109	0.90803	2.95084	13.02398	1461.40117	10.50672	Unknown	Unknown	spp	NA	0	NA	NA	Sync	NA	NA
NCB1297	0	NCB1297_L367.avi	1630	NCB1297_R368.avi	633	1.08667	NA	-1	6.22587	-114.59953	-883.12029	0.31232	0.32327	0.85232	2.95761	890.54661	7.0963	Unknown	Unknown	spp	NA	0	NA	NA	Sync	NA	NA
NCB1297	4	NCB1297_L367.avi	19339	NCB1297_R368.avi	18342	12.89267	Analysis	11.06267	250.32609	-242.46665	-3414.99387	1.41145	1.45553	12.03979	2.46058	3432.73017	5.61646	Carcharhinidae	Unknown	sp10	NA	1	AD	Passing	NA	NA	NA
NCB1297	6	NCB1297_L367.avi	61370	NCB1297_R368.avi	60373	40.91333	Analysis	39.08333	-134.74924	-238.76294	-1233.87406	0.45613	0.52342	1.62947	0.72657	1263.96609	12.25947	Nemipteridae	Pentapodus	porosus	37347007	1	AD	Passing	NA	NA	NA
NCB1297	8	NCB1297_L367.avi	67630	NCB1297_R368.avi	66633	45.08667	Analysis	43.25667	121.92576	-279.49159	-1380.8832	0.50129	0.61993	2.02386	1.60314	1414.14987	12.16995	Nemipteridae	Pentapodus	vitta	37347022	10	AD	Passing	NA	NA	NA
NCB1312	0	NCB1312_L367.avi	1705	NCB1312_R368.avi	610	1.13667	NA	-1	7.87218	-114.48309	-891.65014	0.31533	0.32629	0.86873	0.49459	899.00408	7.02557	Unknown	Unknown	spp	NA	0	NA	NA	Sync	NA	NA
NCB1312	2	NCB1312_L367.avi	62398	NCB1312_R368.avi	61303	41.59867	Analysis	39.85267	1079.04754	184.56273	-2994.3853	2.97966	1.08204	8.55989	6.30894	3188.22055	20.13617	Scombridae	Scomberomorus	spp	NA	1	AD	Passing	NA	NA	NA
NCB1312	9	NCB1312_L367.avi	64369	NCB1312_R368.avi	63274	42.91267	Analysis	41.16667	-69.36954	-52.62899	-1220.72517	0.4339	0.42289	1.61113	0.77629	1223.82674	3.90115	Nemipteridae	Pentapodus	vitta	37347022	18	AD	Passing	NA	NA	NA
NCB1358	0	NCB1358_L441.avi	2031	NCB1358_R442.avi	868	1.12946	NA	-1	67.7262	-43.147	-1052.14784	0.54559	0.52407	1.6373	11.99647	1055.20784	4.07569	Unknown	Unknown	spp	NA	0	NA	NA	Sync	NA	NA
NCB1358	6	NCB1358_L441.avi	42468	NCB1358_R442.avi	41305	23.61695	Analysis	3.30442	-869.45721	404.23802	-1444.1523	1.79	1.0784	3.09933	0.02713	1733.4763	33.8366	Lutjanidae	Lutjanus	carponotatus	37346011	1	AD	Passing	NA	NA	NA
NCB1358	7	NCB1358_L441.avi	42468	NCB1358_R442.avi	41305	23.61695	Analysis	3.30442	-900.32826	581.55111	-1679.12922	2.15993	1.59319	4.18141	7.28372	1992.0511	32.87709	Lutjanidae	Lutjanus	carponotatus	37346011	1	AD	Passing	NA	NA	NA
NCB1358	10	NCB1358_L441.avi	64492	NCB1358_R442.avi	63329	35.86475	Analysis	15.55222	-26.22172	91.13586	-1355.57339	0.67903	0.67624	2.65194	10.43187	1358.88651	4.57666	Muraenidae	Gymnothorax	thrysoideus	37060010	1	AD	Passing	NA	NA	NA
NCB1358	11	NCB1358_L441.avi	64492	NCB1358_R442.avi	63329	35.86475	Analysis	15.55222	-117.82943	-201.63636	-1024.1387	0.54397	0.59273	1.55746	6.52619	1050.42899	12.33558	Muraenidae	Gymnothorax	undulatus	37060053	1	AD	Passing	NA	NA	NA
NCB1358	13	NCB1358_L441.avi	76834	NCB1358_R442.avi	75671	42.72828	Analysis	22.41575	-259.84771	-325.92562	-1032.78375	0.61951	0.71718	1.59306	7.40429	1113.72825	21.51669	Pomacentridae	Neopomacentrus	filamentosus	37372090	4	AD	Passing	NA	NA	NA
NCB1358	15	NCB1358_L441.avi	125476	NCB1358_R442.avi	124313	69.77867	Analysis	49.46613	-104.86865	53.79745	-1458.76824	0.74784	0.71269	3.05484	10.01756	1463.52191	4.9194	Muraenidae	Gymnothorax	favagineus	37060016	1	AD	Passing	NA	NA	NA
MNCB257	11	MNCB257_L418.avi	217434	MNCB257_R419.avi	216953	120.91758	Analysis	117.53142	40.55281	-115.31942	-470.71697	0.22782	0.23224	0.42556	4.48415	486.33072	14.89661	Unknown	Unknown	spp	NA	0	NA	NA	Sync	NA	NA
MNCB235	2	MNCB235_L511.avi	6719	MNCB235_R512.avi	6520	3.73651	Analysis	2.56868	-364.6816	163.42054	-1061.0038	0.79965	0.56814	2.03965	1.60844	1133.76717	20.42996	Lutjanidae	Lutjanus	fulviflamma	37346034	2	AD	Passing	NA	NA	NA
MNCB235	3	MNCB235_L511.avi	7368	MNCB235_R512.avi	7169	4.09743	Analysis	2.9296	-128.92673	286.78432	-983.98168	0.48689	0.67052	1.74749	1.99902	1032.99917	17.24509	Siganidae	Siganus	fuscescens	37438001	8	AD	Passing	NA	NA	NA
MNCB235	4	MNCB235_L511.avi	8219	MNCB235_R512.avi	8020	4.57068	Analysis	3.40285	-382.91698	153.20516	-1057.2498	0.82432	0.5554	2.02498	0.63716	1134.84553	21.12139	Pomacentridae	Pomacentrus	milleri	37372117	2	AD	Passing	NA	NA	NA
MNCB235	10	MNCB235_L511.avi	24031	MNCB235_R512.avi	23832	13.36392	Analysis	12.19608	-45.07013	50.46345	-1026.00145	0.46372	0.45733	1.88958	6.01191	1028.22996	3.40035	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing	NA	NA	NA
MNCB235	11	MNCB235_L511.avi	35773	MNCB235_R512.avi	35574	19.89378	Analysis	18.72595	-369.36731	156.53074	-1037.26223	0.78851	0.54823	1.94919	1.45695	1112.13624	20.94522	Pomacentridae	Abudefduf	bengalensis	37372003	4	AD	Passing	NA	NA	NA
MNCB235	13	MNCB235_L511.avi	90376	MNCB235_R512.avi	90177	50.25915	Analysis	49.09131	-120.02674	-19.29303	-1178.24114	0.57008	0.50957	2.48065	8.84721	1184.49602	5.9961	Serranidae	Epinephelus	coioides	37311007	1	AD	Passing	NA	NA	NA
MNCB235	18	MNCB235_L511.avi	121681	MNCB235_R512.avi	121482	67.66822	Analysis	66.50039	-32.58582	-78.23021	-734.59289	0.33915	0.33588	0.99781	0.74211	739.46502	7.06692	Unknown	Unknown	spp	NA	0	NA	NA	Sync	NA	NA
MNCB217	0	MNCB217_L425.avi	3386	MNCB217_R426.avi	2910	1.88299	NA	-1	-35.78842	-7.15737	-717.06084	0.36597	0.35121	1.0494	0.11995	717.98906	2.87459	Unknown	Unknown	spp	NA	0	NA	NA	Sync	NA	NA
MNCB217	4	MNCB217_L425.avi	15509	MNCB217_R426.avi	15033	8.62474	Analysis	5.32699	-1073.72503	746.29501	-2671.10742	5.82858	4.19496	14.61294	5.07552	2973.99673	26.22998	Monacanthidae	Monacanthus	chinensis	37465009	2	AD	Passing	NA	NA	NA
MNCB217	17	MNCB217_L425.avi	45985	MNCB217_R426.avi	45509	25.57279	Analysis	22.27505	1808.74425	1053.4717	-3578.65419	12.73464	7.55154	25.48998	4.87267	4145.85627	30.45273	Nemipteridae	Scaevius	milii	37347020	1	AD	Passing	NA	NA	NA
