OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
NCB1351	Ross	3.7		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.0798	Longitude	114.5062	Location	East Exmouth Gulf	Status	Fished	Site		Date	01/09/15	TimeIn	0.645138889
NCB1297	Matt	6.4																	
NCB1312	Ross	2.9		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.4504	Longitude	114.1834	Location	South Exmouth Gulf	Status	Fished	Site		Date	31/08/15	TimeIn	0.384722222
NCB1358	Ross	6		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.0667	Longitude	114.42	Location	East Exmouth Gulf	Status	Fished	Site		Date	02/09/15	TimeIn	0.378472222
MNCB257	Ross	2		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.0992	Longitude	114.5106	Location	East Exmouth Gulf	Status	Fished	Site		Date	01/09/15	TimeIn	0.515277778
MNCB235	Ross	1.5		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.3525	Longitude	114.2036	Location	South Exmouth Gulf	Status	Fished	Site		Date	30/08/15	TimeIn	0.652777778
MNCB217	Matt	2.2		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-21.9872	Longitude	114.135	Location	West Exmouth Gulf	Status	Fished	Site		Date	29/08/15	TimeIn	0.670833333
NCB1352	Ross	4		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.075	Longitude	114.5034	Location	East Exmouth Gulf	Status	Fished	Site		Date	01/09/15	TimeIn	0.650694444
NCB1303	Ross	5.4		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.4024	Longitude	114.2062	Location	South Exmouth Gulf	Status	Fished	Site		Date	30/08/15	TimeIn	0.627083333
NCB1353	Ross	4.5		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.071	Longitude	114.4999	Location	East Exmouth Gulf	Status	Fished	Site		Date	01/09/15	TimeIn	0.653472222
NCB1307	Ross	6		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.4227	Longitude	114.2005	Location	South Exmouth Gulf	Status	Fished	Site		Date	31/08/15	TimeIn	0.363194444
NCB1313	Ross	2.8		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.4549	Longitude	114.1796	Location	South Exmouth Gulf	Status	Fished	Site		Date	31/08/15	TimeIn	0.3875
NCB1347	Ross	4.6		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.0993	Longitude	114.5041	Location	East Exmouth Gulf	Status	Fished	Site		Date	01/09/15	TimeIn	0.538194444
NCB1357	Ross	6		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.0688	Longitude	114.4224	Location	East Exmouth Gulf	Status	Fished	Site		Date	02/09/15	TimeIn	0.364583333
MNCB216	Matt	3.2		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-21.9848	Longitude	114.1355	Location	West Exmouth Gulf	Status	Fished	Site		Date	29/08/15	TimeIn	0.667361111
MNCB212	Ross	9		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-21.8872	Longitude	114.1597	Location	West Exmouth Gulf	Status	Fished	Site		Date	29/08/15	TimeIn	0.586805556
MNCB252	Ross	1.7		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.1246	Longitude	114.4855	Location	East Exmouth Gulf	Status	Fished	Site		Date	01/09/15	TimeIn	0.436111111
NCB1287	Ross	5.8		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.3258	Longitude	114.1977	Location	South Exmouth Gulf	Status	Fished	Site		Date	30/08/15	TimeIn	0.4875
NCB1315	Ross	3.9		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.454	Longitude	114.177	Location	South Exmouth Gulf	Status	Fished	Site		Date	31/08/15	TimeIn	0.474305556
NCB1339	Ross	5.6		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.1182	Longitude	114.4667	Location	East Exmouth Gulf	Status	Fished	Site		Date	01/09/15	TimeIn	0.438194444
NCB1286	Ross	5.8		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.3215	Longitude	114.196	Location	South Exmouth Gulf	Status	Fished	Site		Date	30/08/15	TimeIn	0.481944444
MNCB239	Ross	1		CampaignID	2015_09_Exmouth.Gulf_stereoBRUVs	Latitude	-22.4308	Longitude	114.1813	Location	South Exmouth Gulf	Status	Fished	Site		Date	31/08/15	TimeIn	0.380555556
