"campaignid","sample","family","genus","species","maxn"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Carangidae","Atule","mate",2
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Carcharhinidae","Galeocerdo","cuvier",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Chaetodontidae","Chaetodon","aureofasciatus",4
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Chaetodontidae","Chelmon","marginalis",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Chaetodontidae","Coradion","chrysozonus",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Chaetodontidae","Parachaetodon","ocellatus",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Echeneidae","Echeneis","naucrates",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Haemulidae","Diagramma","pictum labiosum",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Labridae","Choerodon","cauteroma",3
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Labridae","Choerodon","cephalotes",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Labridae","Choerodon","cyanodus",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Labridae","Choerodon","schoenleinii",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Labridae","Choerodon","vitta",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Lethrinidae","Lethrinus","punctulatus",12
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Lutjanidae","Symphorus","nematophorus",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Mullidae","Parupeneus","indicus",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Mullidae","Upeneus","tragula",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Nemipteridae","Pentapodus","porosus",16
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Nemipteridae","Scolopsis","monogramma",4
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Pomacentridae","Neopomacentrus","filamentosus",5
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Rachycentridae","Rachycentron","canadum",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Scombridae","Scomberomorus","spp",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Serranidae","Epinephelus","bilobatus",3
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Serranidae","Plectropomus","spp",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","Balistidae","Abalistes","stellatus",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","Carangidae","Carangoides","fulvoguttatus",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","Carcharhinidae","Carcharhinus","limbatus",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","Echeneidae","Echeneis","naucrates",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","Haemulidae","Diagramma","pictum labiosum",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","Hemiscylliidae","Chiloscyllium","punctatum",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","Labridae","Choerodon","cauteroma",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","Labridae","Coris","caudimacula",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","Microdesmidae","Ptereleotris","monoptera",16
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","Mullidae","Parupeneus","indicus",2
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","Nemipteridae","Pentapodus","porosus",21
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","Nemipteridae","Scolopsis","monogramma",3
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","Scombridae","Scomberomorus","spp",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB10","Serranidae","Plectropomus","spp",1
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB100","Acanthuridae","Acanthurus","grammoptilus",2
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB100","Carangidae","Carangoides","fulvoguttatus",3
